Unnamed: 0,CAR,ATL
First Downs,15,20
Rush-Yds-TDs,24-87-0,26-60-0
Cmp-Att-Yd-TD-INT,14-34-180-1-3,28-45-317-1-0
Sacked-Yards,2-19,1-6
Net Pass Yards,161,311
Total Yards,248,371
Fumbles-Lost,2-0,1-0
Turnovers,3,0
Penalties-Yards,5-35,7-60
Third Down Conv.,5-15,6-16
Fourth Down Conv.,1-1,0-0
Time of Possession,25:18,34:42
