Quarter,Time,Tm,Detail,CAR,ATL
1.0,10:32,Falcons,Devonta Freeman 19 yard pass from Matt Ryan (Matt Bryant kick),0,7
2.0,0:50,Panthers,Devin Funchess 4 yard pass from Cam Newton (Graham Gano kick),7,7
3.0,6:31,Falcons,Matt Bryant 30 yard field goal,7,10
,3:44,Falcons,Matt Bryant 42 yard field goal,7,13
4.0,14:11,Falcons,Matt Bryant 30 yard field goal,7,16
,10:34,Panthers,Graham Gano 42 yard field goal,10,16
,6:37,Falcons,Matt Bryant 56 yard field goal,10,19
,2:27,Falcons,Matt Bryant 33 yard field goal,10,22
