Unnamed: 0,DET,TAM
First Downs,21,28
Rush-Yds-TDs,18-53-2,28-133-1
Cmp-Att-Yd-TD-INT,36-44-381-1-2,26-38-285-2-2
Sacked-Yards,0-0,3-18
Net Pass Yards,381,267
Total Yards,434,400
Fumbles-Lost,2-1,3-3
Turnovers,3,5
Penalties-Yards,8-105,7-65
Third Down Conv.,5-11,4-8
Fourth Down Conv.,0-0,0-0
Time of Possession,29:47,30:13
