Quarter,Time,Tm,Detail,DET,TAM
1.0,8:05,Lions,Theo Riddick 2 yard rush (Matt Prater kick),7,0
,2:51,Buccaneers,Doug Martin 1 yard rush (Patrick Murray kick),7,7
2.0,7:36,Lions,Golden Tate 5 yard pass from Matthew Stafford (Matt Prater kick),14,7
3.0,3:11,Lions,Theo Riddick 18 yard rush (Matt Prater kick),21,7
4.0,13:41,Buccaneers,O.J. Howard 2 yard pass from Jameis Winston (Patrick Murray kick),21,14
,8:05,Buccaneers,Leonard Wester 2 yard pass from Jameis Winston (Patrick Murray kick),21,21
,0:20,Lions,Matt Prater 46 yard field goal,24,21
