Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 68 yards, returned by Kerwynn Williams for 15 yards (tackle by Ladarius Gunter)",0.000,0.350
1,14:56,1,10,ARI 12,0,0,Carson Palmer pass incomplete deep left intended for Michael Floyd,-0.350,-0.780
1,14:51,2,10,ARI 12,0,0,David Johnson left end for no gain (tackle by Mike Daniels),-0.780,-1.420
1,14:08,3,10,ARI 12,0,0,Carson Palmer pass complete short right to Larry Fitzgerald for 6 yards (tackle by Casey Hayward),-1.420,-2.240
1,13:41,4,4,ARI 18,0,0,"Drew Butler punts 42 yards, fair catch by Micah Hyde",-2.240,-1.600
1,13:33,1,10,GNB 40,0,0,Eddie Lacy left tackle for 3 yards (tackle by Rodney Gunter and Frostee Rucker),1.600,1.460
1,13:06,2,7,GNB 43,0,0,Aaron Rodgers pass complete short left to James Jones for 11 yards (tackle by Justin Bethel),1.460,2.520
1,12:40,1,10,ARI 46,0,0,Randall Cobb right tackle for 2 yards (tackle by Kevin Minter),2.520,2.250
1,12:13,2,8,ARI 44,0,0,"Aaron Rodgers pass incomplete deep left intended for James Jones. Penalty on Calais Campbell: Defensive Offside, 5 yards (no play)",2.250,2.920
1,12:06,2,3,ARI 39,0,0,Eddie Lacy right tackle for no gain (tackle by Calais Campbell),2.920,2.210
1,11:28,3,3,ARI 39,0,0,"Aaron Rodgers pass complete short left to James Jones for 12 yards. Penalty on Josh Sitton: Offensive Holding, 10 yards (no play)",2.210,0.890
1,11:02,3,13,ARI 49,0,0,Aaron Rodgers pass incomplete deep left intended for Davante Adams,0.890,0.000
1,10:52,4,13,ARI 49,0,0,"Penalty on Richard Rodgers: False Start, 5 yards (no play)",0.000,-0.320
1,10:52,4,18,GNB 46,0,0,Tim Masthay punts 49 yards,-0.320,0.380
1,10:40,1,10,ARI 5,0,0,David Johnson middle for 6 yards (tackle by Datone Jones and Morgan Burnett),-0.380,-0.340
1,10:04,2,4,ARI 11,0,0,Carson Palmer pass complete short middle to Michael Floyd for 13 yards (tackle by Casey Hayward),-0.340,0.540
1,9:25,1,10,ARI 24,0,0,David Johnson middle for -3 yards (tackle by Mike Daniels),0.540,-0.410
1,8:41,2,13,ARI 21,0,0,Carson Palmer pass complete short right to David Johnson for 44 yards (tackle by Ha Ha Clinton-Dix),-0.410,3.250
1,7:59,1,10,GNB 35,0,0,Carson Palmer sacked by Mike Pennel for 0 yards,3.250,2.700
1,7:14,2,10,GNB 35,0,0,Andre Ellington right tackle for 6 yards (tackle by Jake Ryan and Julius Peppers),2.700,2.810
1,6:30,3,4,GNB 29,0,0,Carson Palmer sacked by Mike Neal for -9 yards,2.810,0.720
1,6:00,4,13,GNB 38,0,0,Drew Butler punts 34 yards,0.720,0.380
1,5:51,1,10,GNB 4,0,0,Eddie Lacy middle for 3 yards (tackle by Kevin Minter),-0.380,-0.560
1,5:13,2,7,GNB 7,0,0,Eddie Lacy right end for 6 yards (tackle by Jerraud Powers and Tony Jefferson),-0.560,-0.370
1,4:43,3,1,GNB 13,0,0,Eddie Lacy right tackle for 2 yards (tackle by Calais Campbell),-0.370,-0.220
1,4:09,1,10,GNB 15,0,0,"Aaron Rodgers pass incomplete. Penalty on Justin Bethel: Defensive Holding, 5 yards (no play)",-0.220,0.280
1,3:59,1,10,GNB 20,0,0,James Starks middle for 3 yards (tackle by Tony Jefferson),0.280,0.140
1,3:26,2,7,GNB 23,0,0,James Starks middle for 2 yards (tackle by Alex Okafor),0.140,-0.300
1,2:52,3,5,GNB 25,0,0,Aaron Rodgers pass incomplete short right intended for Davante Adams,-0.300,-1.700
1,2:48,4,5,GNB 25,0,0,"Tim Masthay punts 49 yards, returned by Patrick Peterson for 9 yards (tackle by Chris Banjo). Penalty on Jeff Janis: Face Mask (15 Yards), 15 yards",-1.700,-2.260
1,2:37,1,10,,0,0,Carson Palmer pass complete short left to John Brown for 14 yards (tackle by Quinten Rollins),2.260,3.180
1,2:06,1,10,GNB 36,0,0,David Johnson middle for 8 yards (tackle by Jake Ryan and Morgan Burnett),3.180,3.720
1,1:32,2,2,GNB 28,0,0,David Johnson middle for 3 yards (tackle by Morgan Burnett),3.720,3.910
1,0:52,1,10,GNB 25,0,0,Carson Palmer pass complete short left to David Johnson for 15 yards (tackle by Ha Ha Clinton-Dix),3.910,4.910
Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 10,0,0,Carson Palmer pass incomplete short left intended for Jermaine Gresham,4.910,4.190
2,14:55,2,10,GNB 10,0,0,Carson Palmer pass complete short left to Jermaine Gresham for 7 yards (tackle by Quinten Rollins),4.190,4.720
