Unnamed: 0,GNB,ARI
First Downs,16,19
Rush-Yds-TDs,26-101-0,26-121-1
Cmp-Att-Yd-TD-INT,16-29-155-1-1,19-28-269-2-1
Sacked-Yards,9-78,2-9
Net Pass Yards,77,260
Total Yards,178,381
Fumbles-Lost,5-3,2-1
Turnovers,4,2
Penalties-Yards,7-59,10-119
Third Down Conv.,5-17,5-10
Fourth Down Conv.,2-3,0-0
Time of Possession,29:44,30:16
