Unnamed: 0,JAX,IND
First Downs,15,23
Rush-Yds-TDs,32-185-1,29-124-0
Cmp-Att-Yd-TD-INT,10-21-155-1-0,22-46-313-2-1
Sacked-Yards,1-7,0-0
Net Pass Yards,148,313
Total Yards,333,437
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,6-67,11-106
Third Down Conv.,4-13,10-19
Fourth Down Conv.,0-0,0-0
Time of Possession,27:36,32:24
