Quarter,Time,Tm,Detail,JAX,IND
1.0,7:13,Jaguars,Josh Scobee 44 yard field goal,3,0
,3:42,Colts,T.Y. Hilton 40 yard pass from Andrew Luck (Adam Vinatieri kick),3,7
2.0,0:37,Colts,Mewelde Moore 4 yard pass from Andrew Luck (Adam Vinatieri kick),3,14
3.0,12:05,Jaguars,Maurice Jones-Drew 59 yard rush (Josh Scobee kick),10,14
,2:55,Jaguars,Josh Scobee 47 yard field goal,13,14
4.0,11:02,Jaguars,Josh Scobee 26 yard field goal,16,14
,0:56,Colts,Adam Vinatieri 37 yard field goal,16,17
,0:45,Jaguars,Cecil Shorts 80 yard pass from Blaine Gabbert (run failed),22,17
