Quarter,Time,Tm,Detail,DEN,CLE
1.0,12:20,Browns,D'Ernest Johnson 4 yard rush (Chase McLaughlin kick),0,7
,3:09,Browns,Chase McLaughlin 52 yard field goal,0,10
3.0,7:48,Broncos,Melvin Gordon 8 yard pass from Teddy Bridgewater (Brandon McManus kick),7,10
,0:27,Browns,Johnny Stanton 1 yard pass from Case Keenum (Chase McLaughlin kick),7,17
4.0,5:17,Broncos,Javonte Williams 10 yard pass from Teddy Bridgewater (Brandon McManus kick),14,17
