Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Melvin Gordon,DEN,8,18,0,1,6,0.8,12,1.5,0,
Javonte Williams,DEN,4,20,0,0,8,2.0,12,3.0,0,
Teddy Bridgewater,DEN,2,3,0,2,0,0.0,3,1.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
D'Ernest Johnson,CLE,22,146,1,7,63,2.9,83,3.8,1,22.0
Case Keenum,CLE,4,7,0,2,1,0.3,6,1.5,0,
Demetric Felton,CLE,2,13,0,0,6,3.0,7,3.5,0,
John Kelly,CLE,2,13,0,1,7,3.5,6,3.0,0,
Johnny Stanton,CLE,2,5,0,2,2,1.0,3,1.5,0,
Anthony Schwartz,CLE,1,-2,0,0,-2,-2.0,0,0.0,0,
