Unnamed: 0,DEN,CLE
First Downs,15,23
Rush-Yds-TDs,14-41-0,33-182-1
Cmp-Att-Yd-TD-INT,23-33-187-2-1,21-33-199-1-0
Sacked-Yards,2-5,1-5
Net Pass Yards,182,194
Total Yards,223,376
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,2-15,9-60
Third Down Conv.,5-11,9-15
Fourth Down Conv.,1-1,1-1
Time of Possession,23:09,36:51
