Quarter,Time,Tm,Detail,SFO,ARI
1.0,9:57,49ers,Fred Beasley 25 yard pass from Jeff Garcia (Jeff Chandler kick),7,0
2.0,7:37,Cardinals,Kevin Kasper 4 yard pass from Jake Plummer (Bill Gramatica kick),7,7
,0:45,49ers,Jeff Chandler 24 yard field goal,10,7
3.0,13:22,49ers,Garrison Hearst 8 yard rush (Jeff Chandler kick),17,7
4.0,4:08,Cardinals,Kevin Kasper 6 yard pass from Jake Plummer (Bill Gramatica kick),17,14
