Unnamed: 0,DET,WAS
First Downs,24,27
Rush-Yds-TDs,23-63-1,22-120-1
Cmp-Att-Yd-TD-INT,25-42-385-2-1,32-50-326-0-1
Sacked-Yards,1-7,2-26
Net Pass Yards,378,300
Total Yards,441,420
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,8-71,6-45
Third Down Conv.,4-13,6-13
Fourth Down Conv.,1-1,0-0
Time of Possession,28:48,31:12
