Unnamed: 0,IND,HOU
First Downs,17,22
Rush-Yds-TDs,14-69-0,33-143-0
Cmp-Att-Yd-TD-INT,18-40-271-3-0,20-34-350-3-0
Sacked-Yards,4-26,1-10
Net Pass Yards,245,340
Total Yards,314,483
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,3-15,5-86
Third Down Conv.,4-13,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,23:48,36:12
