Unnamed: 0,CLE,CIN
First Downs,23,31
Rush-Yds-TDs,22-82-0,21-81-1
Cmp-Att-Yd-TD-INT,23-29-316-5-1,36-48-422-3-1
Sacked-Yards,0-0,4-35
Net Pass Yards,316,387
Total Yards,398,468
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,5-40,7-45
Third Down Conv.,5-7,6-9
Fourth Down Conv.,0-0,1-1
Time of Possession,27:03,32:57
