Quarter,Time,Tm,Detail,CLE,CIN
1.0,6:47,Bengals,Joe Burrow 1 yard rush (Randy Bullock kick),0,7
,1:21,Browns,Cody Parkey 43 yard field goal,3,7
2.0,11:09,Bengals,Randy Bullock 37 yard field goal,3,10
,3:39,Browns,Harrison Bryant 3 yard pass from Baker Mayfield (Cody Parkey kick),10,10
,0:15,Bengals,Tyler Boyd 11 yard pass from Joe Burrow (Randy Bullock kick),10,17
3.0,9:32,Browns,Harrison Bryant 6 yard pass from Baker Mayfield (Cody Parkey kick),17,17
,2:51,Bengals,Randy Bullock 23 yard field goal,17,20
4.0,13:13,Browns,David Njoku 16 yard pass from Baker Mayfield (Cody Parkey kick),24,20
,8:45,Bengals,Tee Higgins 16 yard pass from Joe Burrow (Randy Bullock kick),24,27
,4:53,Browns,Kareem Hunt 8 yard pass from Baker Mayfield (Cody Parkey kick),31,27
,1:06,Bengals,Giovani Bernard 3 yard pass from Joe Burrow (Randy Bullock kick),31,34
,0:11,Browns,Donovan Peoples-Jones 24 yard pass from Baker Mayfield (Cody Parkey kick failed),37,34
