Unnamed: 0,ATL,TAM
First Downs,10,22
Rush-Yds-TDs,23-62-0,29-150-0
Cmp-Att-Yd-TD-INT,12-25-125-1-1,23-31-276-4-0
Sacked-Yards,1-6,1-5
Net Pass Yards,119,271
Total Yards,181,421
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,4-45,5-38
Third Down Conv.,3-12,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,26:02,33:58
