Quarter,Time,Tm,Detail,CHI,CLE
1.0,8:40,Bears,Cairo Santos 47 yard field goal,3,0
2.0,12:31,Browns,Chase McLaughlin 57 yard field goal,3,3
,0:19,Browns,Austin Hooper 13 yard pass from Baker Mayfield (Chase McLaughlin kick),3,10
3.0,9:32,Browns,Chase McLaughlin 41 yard field goal,3,13
,1:43,Bears,Cairo Santos 22 yard field goal,6,13
4.0,14:46,Browns,Kareem Hunt 29 yard rush (Chase McLaughlin kick),6,20
,10:40,Browns,Chase McLaughlin 52 yard field goal,6,23
,3:43,Browns,Chase McLaughlin 28 yard field goal,6,26
