Unnamed: 0,CHI,CLE
First Downs,6,26
Rush-Yds-TDs,13-46-0,42-215-1
Cmp-Att-Yd-TD-INT,6-20-68-0-0,19-31-246-1-0
Sacked-Yards,9-67,5-43
Net Pass Yards,1,203
Total Yards,47,418
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,5-49,7-98
Third Down Conv.,1-11,8-17
Fourth Down Conv.,0-1,1-3
Time of Possession,20:26,39:34
