Quarter,Time,Tm,Detail,TAM,NYG
1.0,9:41,Buccaneers,Ryan Succop 37 yard field goal,3,0
,4:10,Giants,Dion Lewis 7 yard pass from Daniel Jones (Graham Gano kick),3,7
2.0,1:46,Giants,Wayne Gallman 2 yard rush (Graham Gano kick),3,14
,0:07,Buccaneers,Ryan Succop 40 yard field goal,6,14
3.0,10:00,Buccaneers,Ryan Succop 43 yard field goal,9,14
,6:00,Buccaneers,Rob Gronkowski 3 yard pass from Tom Brady (pass failed),15,14
,0:15,Giants,Graham Gano 33 yard field goal,15,17
4.0,9:02,Buccaneers,Mike Evans 8 yard pass from Tom Brady (Ryan Succop kick),22,17
,3:41,Buccaneers,Ryan Succop 38 yard field goal,25,17
,0:28,Giants,Golden Tate 19 yard pass from Daniel Jones (pass failed),25,23
