Unnamed: 0,TAM,NYG
First Downs,23,24
Rush-Yds-TDs,24-81-0,24-101-1
Cmp-Att-Yd-TD-INT,28-40-279-2-0,26-42-274-2-2
Sacked-Yards,2-16,3-18
Net Pass Yards,263,256
Total Yards,344,357
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,3-20,7-73
Third Down Conv.,4-12,4-11
Fourth Down Conv.,1-1,2-2
Time of Possession,30:10,29:50
