Unnamed: 0,HOU,NOR
First Downs,16,12
Rush-Yds-TDs,24-75-1,27-110-1
Cmp-Att-Yd-TD-INT,17-36-213-0-2,18-27-189-2-0
Sacked-Yards,5-30,2-7
Net Pass Yards,183,182
Total Yards,258,292
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,11-86,9-78
Third Down Conv.,4-16,8-17
Fourth Down Conv.,2-3,0-0
Time of Possession,27:47,32:13
