Quarter,Time,Down,ToGo,Location,KAN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 68 yards, returned by Dante Hall for 44 yards (tackle by Derrick Gibson)",0.000,1.990
1,14:52,1,10,KAN 46,0,0,Eddie Kennison left end for 8 yards (tackle by Renaldo Hill),1.990,2.530
1,14:13,2,2,OAK 46,0,0,Trent Green pass incomplete intended for Samie Parker,2.530,1.820
1,14:09,3,2,OAK 46,0,0,Trent Green pass incomplete intended for Eddie Kennison (defended by Bobby Hamilton),1.820,0.200
1,14:06,4,2,OAK 46,0,0,"Dustin Colquitt punts 29 yards, muffed catch by Chris Carr, recovered by Gary Stills and returned for no gain",0.200,4.440
1,13:56,1,10,OAK 17,0,0,Priest Holmes right guard for 2 yards (tackle by Danny Clark and Kirk Morrison),4.440,4.150
1,13:16,2,8,OAK 15,0,0,Trent Green pass complete to Priest Holmes for 5 yards (tackle by Warren Sapp and Tyler Brayton),4.150,4.340
1,12:34,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,4.340
1,12:34,3,3,OAK 10,0,0,Trent Green pass complete to Priest Holmes for 2 yards (tackle by Derrick Gibson),4.340,2.990
1,12:26,4,1,OAK 8,0,0,Priest Holmes up the middle for 3 yards (tackle by Tommy Kelly and Kirk Morrison),2.990,6.060
1,11:43,,,,0,0,Timeout #2 by Kansas City Chiefs,0.000,6.060
1,11:43,1,5,OAK 5,0,0,Priest Holmes left end for no gain (tackle by Danny Clark),6.060,5.150
1,11:02,2,5,OAK 5,0,0,Priest Holmes left tackle for no gain (tackle by Ted Washington),5.150,4.260
1,10:19,3,5,OAK 5,0,0,Trent Green pass complete to Tony Gonzalez for 4 yards (tackle by Stuart Schweigert),4.260,3.550
1,9:35,4,1,OAK 1,6,0,"Priest Holmes up the middle for 1 yard, touchdown",3.550,7.000
1,,,,OAK 2,7,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Lawrence Tynes kicks off 54 yards, returned by Chris Carr for 20 yards (tackle by Rich Scanlon)",0.000,1.330
1,9:24,1,10,OAK 36,7,0,Zack Crockett right guard for 2 yards (tackle by Eric Hicks),1.330,1.060
1,8:51,2,8,OAK 38,7,0,Kerry Collins pass complete to LaMont Jordan for 6 yards (tackle by Kawika Mitchell),1.060,1.160
1,8:08,3,2,OAK 44,7,0,Kerry Collins pass complete to LaMont Jordan for 9 yards (tackle by Dexter McCleon),1.160,2.460
1,7:30,1,10,KAN 47,7,0,LaMont Jordan left end for 2 yards (tackle by Jared Allen and Lional Dalton),2.460,2.180
1,6:49,2,8,KAN 45,7,0,Kerry Collins pass complete to Jerry Porter for 10 yards (tackle by Patrick Surtain),2.180,3.250
1,6:09,1,10,KAN 35,7,0,"LaMont Jordan up the middle for -3 yards. LaMont Jordan fumbles, recovered by Ron Stone at KAN-37",3.250,2.430
1,5:27,2,12,KAN 37,7,0,Kerry Collins pass incomplete intended for Randy Moss,2.430,1.750
1,5:23,3,12,KAN 37,7,0,"Kerry Collins sacked by Benny Sapp for -7 yards. Kerry Collins fumbles (forced by Benny Sapp), recovered by Derrick Johnson at KAN-35 (tackle by Barry Sims)",1.750,-1.270
1,5:15,1,10,KAN 35,7,0,Larry Johnson left end for 2 yards (tackle by Charles Woodson and Danny Clark),1.270,0.990
1,4:37,2,8,KAN 37,7,0,"Trent Green pass complete to Eddie Kennison for 6 yards (tackle by Derrick Gibson). Penalty on Jason Dunn: Illegal Formation, 5 yards (no play)",0.990,0.320
1,4:15,2,13,KAN 32,7,0,Trent Green pass complete to Eddie Kennison for 10 yards (tackle by Stanford Routt),0.320,0.960
1,3:50,3,3,KAN 42,7,0,Trent Green sacked by Derrick Burgess for -8 yards,0.960,-1.110
1,3:16,4,11,KAN 34,7,0,"Dustin Colquitt punts 49 yards, returned by Chris Carr for 34 yards (tackle by Dustin Colquitt)",-1.110,-2.320
1,2:56,1,10,KAN 49,7,0,Kerry Collins pass complete to LaMont Jordan for 5 yards (tackle by Kawika Mitchell and Eric Hicks),2.320,2.460
1,2:23,2,5,KAN 44,7,0,LaMont Jordan right end for 11 yards (tackle by Greg Wesley),2.460,3.380
1,1:44,1,10,KAN 33,7,0,Kerry Collins pass complete to Randy Moss for 18 yards (tackle by Sammy Knight),3.380,4.580
1,1:05,1,10,KAN 15,7,0,Kerry Collins pass complete to Jerry Porter for 12 yards (tackle by Greg Wesley and Derrick Johnson),4.580,6.510
