Unnamed: 0,KAN,OAK
First Downs,17,16
Rush-Yds-TDs,36-125-2,18-72-1
Cmp-Att-Yd-TD-INT,18-28-237-0-0,21-35-263-1-0
Sacked-Yards,1-8,2-8
Net Pass Yards,229,255
Total Yards,354,327
Fumbles-Lost,1-1,3-2
Turnovers,1,2
Penalties-Yards,9-78,7-84
Third Down Conv.,5-16,4-12
Fourth Down Conv.,2-2,0-1
Time of Possession,34:34,25:26
