Unnamed: 0,ATL,NWE
First Downs,13,28
Rush-Yds-TDs,17-58-1,39-168-1
Cmp-Att-Yd-TD-INT,17-28-199-0-0,25-42-277-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,199,277
Total Yards,257,445
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,7-54,2-10
Third Down Conv.,2-9,8-18
Fourth Down Conv.,1-1,3-3
Time of Possession,20:11,39:49
