Quarter,Time,Down,ToGo,Location,ATL,NWE,Detail,EPB,EPA
2,10:36,2,3,NWE 34,3,10,Matt Ryan pass incomplete short right intended for Roddy White,3.250,2.540
2,10:26,3,3,NWE 34,3,10,Matt Ryan pass incomplete short left intended for Tony Gonzalez (defended by Vince Wilfork),2.540,1.090
,,,,,,,"ATL challenged the fumble ruling, and the original play was overturned.",,
2,10:26,,,,3,10,Timeout #1 by Atlanta Falcons,0.000,1.090
2,10:26,4,3,NWE 34,3,10,Matt Ryan pass complete short right to Roddy White for 7 yards (tackle by Terrence Wheatley),1.090,3.780
2,10:00,1,10,NWE 27,3,10,Michael Turner right tackle for 4 yards (tackle by Gary Guyton and Myron Pryor),3.780,3.770
2,9:22,2,6,NWE 23,3,10,Matt Ryan pass complete deep middle to Michael Jenkins for 21 yards (tackle by Shawn Springs),3.770,6.740
,,,,,,,"NWE challenged the pass completion ruling, and the play was upheld.",,
2,8:48,1,2,NWE 2,9,10,"Michael Turner left tackle for 2 yards, touchdown",6.740,7.000
2,,,,NWE 2,10,10,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,10,10,"Michael Koenen kicks off 75 yards, returned by Kevin Faulk for 28 yards (tackle by Stephen Nicholas)",0.000,0.480
2,8:38,1,10,NWE 23,10,10,Tom Brady pass complete short left to Julian Edelman for 4 yards (tackle by Curtis Lofton),0.480,0.470
2,8:03,2,6,NWE 27,10,10,Kevin Faulk middle for no gain (tackle by Mike Peterson and Thomas Johnson),0.470,-0.230
2,7:29,3,6,NWE 27,10,10,Tom Brady pass incomplete short middle intended for Julian Edelman,-0.230,-1.570
2,7:24,4,6,NWE 27,10,10,"Chris Hanson punts 51 yards. Penalty on Terrence Wheatley: Player Out of Bounds on , 5 yards",-1.570,-0.740
2,7:17,1,10,ATL 27,10,10,Michael Turner middle for 4 yards (tackle by Mike Wright and Myron Pryor),0.740,0.740
2,6:43,2,6,ATL 31,10,10,Michael Turner left end for 3 yards (tackle by Pierre Woods and James Sanders),0.740,0.430
2,6:00,3,3,ATL 34,10,10,Matt Ryan pass complete short left to Marty Booker for 11 yards (tackle by Leigh Bodden and Brandon Meriweather),0.430,1.930
2,5:19,1,10,ATL 45,10,10,Matt Ryan pass complete short left to Michael Jenkins for 8 yards (tackle by Leigh Bodden),1.930,2.460
2,4:52,2,2,NWE 47,10,10,Michael Turner middle for 6 yards (tackle by Adalius Thomas and Brandon Meriweather),2.460,2.850
2,4:21,1,10,NWE 41,10,10,Matt Ryan pass complete short right to Brian Finneran for 10 yards (tackle by James Sanders),2.850,3.510
2,4:05,,,,10,10,Timeout #3 by New England Patriots,0.000,3.510
2,4:05,1,10,NWE 31,10,10,"Michael Turner middle for 4 yards (tackle by Brandon McGowan). Michael Turner fumbles (forced by Brandon McGowan), recovered by James Sanders at NWE-27 (tackle by Justin Blalock)",3.510,-0.740
2,3:56,1,10,NWE 27,10,10,Fred Taylor right end for 7 yards (tackle by Curtis Lofton and Brian Williams),0.740,1.140
2,3:26,2,3,NWE 34,10,10,Fred Taylor left tackle for 2 yards (tackle by Chauncey Davis and Stephen Nicholas),1.140,0.700
2,2:45,3,1,NWE 36,10,10,Fred Taylor middle for 4 yards (tackle by Brian Williams),0.700,1.600
2,2:14,1,10,NWE 40,10,10,Tom Brady pass complete short middle to Randy Moss for 13 yards (tackle by Thomas DeCoud),1.600,2.460
2,2:00,1,10,ATL 47,10,10,Kevin Faulk middle for 11 yards (tackle by Curtis Lofton and Erik Coleman),2.460,3.180
2,1:32,1,10,ATL 36,10,10,Tom Brady pass complete short right to Julian Edelman for 5 yards (tackle by Mike Peterson),3.180,3.310
2,1:12,2,5,ATL 31,10,10,"Tom Brady pass incomplete deep left intended for Joey Galloway. Penalty on Brian Williams: Illegal Contact, 5 yards (no play)",3.310,3.840
2,1:08,1,10,ATL 26,10,10,Tom Brady pass incomplete deep right intended for Randy Moss,3.840,3.300
2,1:02,2,10,ATL 26,10,10,Tom Brady pass complete short left to Julian Edelman for 11 yards (tackle by Kroy Biermann and Jonathan Babineaux),3.300,4.580
2,0:39,1,10,ATL 15,10,10,Tom Brady pass incomplete short left intended for Kevin Faulk,4.580,3.950
2,0:35,2,10,ATL 15,10,10,Tom Brady pass incomplete short middle intended for Joey Galloway,3.950,3.100
2,0:30,3,10,ATL 15,10,10,Tom Brady pass incomplete short left intended for Sam Aiken,3.100,2.440
2,0:25,4,10,ATL 15,10,13,Stephen Gostkowski 33 yard field goal good,2.440,3.000
2,,,,NWE 30,10,13,"Stephen Gostkowski kicks off 68 yards, returned by Eric Weems for 24 yards (tackle by Patrick Chung)",0.000,0.670
2,0:15,1,10,ATL 26,10,13,Matt Ryan kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,ATL,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,10,13,"Michael Koenen kicks off 74 yards, returned by Kevin Faulk for 21 yards (tackle by Lawrence Sidbury)",0.000,-0.060
3,14:56,1,10,NWE 17,10,13,Fred Taylor left tackle for 6 yards (tackle by Curtis Lofton and Trey Lewis),-0.060,0.350
3,14:26,2,4,NWE 23,10,13,Fred Taylor left end for 10 yards (tackle by Curtis Lofton and Erik Coleman),0.350,1.140
3,13:47,1,10,NWE 33,10,13,Fred Taylor middle for 3 yards (tackle by Trey Lewis and Chauncey Davis),1.140,1.000
3,13:03,2,7,NWE 36,10,13,Tom Brady pass complete short left to Randy Moss for 6 yards (tackle by Chris Houston),1.000,1.090
3,12:22,3,1,NWE 42,10,13,Sammy Morris left end for 15 yards (tackle by Thomas DeCoud),1.090,2.720
3,11:54,1,10,ATL 43,10,13,Tom Brady pass incomplete deep right intended for Ben Watson,2.720,2.180
3,11:48,2,10,ATL 43,10,13,Tom Brady pass complete short left to Chris Baker for 6 yards (tackle by Curtis Lofton and Mike Peterson),2.180,2.280
3,11:08,3,4,ATL 37,10,13,Tom Brady pass complete short left to Joey Galloway for 8 yards (tackle by Stephen Nicholas),2.280,3.640
3,10:33,1,10,ATL 29,10,13,Tom Brady pass complete deep left to Ben Watson for 23 yards (tackle by Chris Houston),3.640,5.830
3,9:56,1,6,ATL 6,10,13,Fred Taylor right tackle for 2 yards (tackle by Jamaal Anderson and Chauncey Davis),5.830,5.340
3,9:14,2,4,ATL 4,10,13,Tom Brady pass incomplete short middle intended for Randy Moss (defended by Thomas DeCoud),5.340,4.490
3,9:09,3,4,ATL 4,10,13,Tom Brady pass incomplete short right intended for Randy Moss,4.490,3.030
3,9:04,4,4,ATL 4,10,16,Stephen Gostkowski 22 yard field goal good,3.030,3.000
3,,,,NWE 30,10,16,"Stephen Gostkowski kicks off 73 yards, returned by Eric Weems for 34 yards (tackle by Rob Ninkovich)",0.000,1.000
3,8:56,1,10,ATL 31,10,16,Matt Ryan pass incomplete deep left intended for Michael Jenkins,1.000,0.460
3,8:51,2,10,ATL 31,10,16,Matt Ryan pass complete deep left to Michael Jenkins for 26 yards,0.460,2.720
3,8:32,1,10,NWE 43,10,16,Michael Turner middle for 7 yards (tackle by Brandon McGowan and Adalius Thomas),2.720,3.120
3,7:57,2,3,NWE 36,10,16,"Matt Ryan pass complete deep left to Michael Jenkins for 36 yards. Penalty on Michael Jenkins: Offensive Pass Interfere, 10 yards (no play)",3.120,1.770
3,7:51,2,13,NWE 46,10,16,"Penalty on Sam Baker: False Start, 5 yards (no play)",1.770,1.100
3,7:48,2,18,ATL 49,10,16,Matt Ryan pass incomplete short right intended for Roddy White,1.100,0.430
3,7:46,3,18,ATL 49,10,16,Matt Ryan pass complete short right to Jason Snelling for 13 yards (tackle by Gary Guyton and Brandon Meriweather),0.430,0.720
3,7:00,4,5,NWE 38,10,16,"Michael Koenen punts 23 yards, fair catch by Kevin Faulk",0.720,0.220
3,6:54,1,10,NWE 15,10,16,Tom Brady pass incomplete deep right intended for Sam Aiken,-0.220,-0.710
3,6:46,2,10,NWE 15,10,16,Fred Taylor middle for 3 yards (tackle by Erik Coleman and Chris Houston),-0.710,-1.000
3,6:03,3,7,NWE 18,10,16,Tom Brady pass complete short left to Joey Galloway for 6 yards (tackle by Brian Williams and Stephen Nicholas),-1.000,-1.770
3,5:19,4,1,NWE 24,10,16,Sammy Morris middle for 2 yards (tackle by Curtis Lofton and Jamaal Anderson),-1.770,0.670
3,4:40,1,10,NWE 26,10,16,Tom Brady pass complete deep right to Randy Moss for 19 yards (tackle by Brian Williams),0.670,1.930
3,4:03,1,10,NWE 45,10,16,Tom Brady pass incomplete deep right intended for Randy Moss,1.930,1.380
3,3:58,2,10,NWE 45,10,16,Fred Taylor right guard for 3 yards (tackle by John Abraham and Kroy Biermann),1.380,1.090
3,3:17,3,7,NWE 48,10,16,Tom Brady pass complete short right to Randy Moss for 8 yards,1.090,2.650
3,2:51,1,10,ATL 44,10,16,Tom Brady pass complete short left to Fred Taylor for 4 yards (tackle by Stephen Nicholas),2.650,2.650
3,2:08,2,6,ATL 40,10,16,Fred Taylor right guard for 5 yards (tackle by Trey Lewis and Curtis Lofton),2.650,2.610
3,1:32,3,1,ATL 35,10,16,Sammy Morris right tackle for -2 yards (tackle by Mike Peterson and Curtis Lofton),2.610,0.790
3,0:55,,,,10,16,Timeout #1 by Atlanta Falcons,0.000,0.790
3,0:55,4,3,ATL 37,10,16,Tom Brady pass complete deep right to Randy Moss for 21 yards,0.790,4.510
3,0:31,1,10,ATL 16,10,16,Sammy Morris right guard for no gain (tackle by Kroy Biermann and Chauncey Davis),4.510,3.900
,,,,,,,"ATL challenged the runner was down by contact ruling, and the play was upheld.",,
3,0:06,2,10,ATL 16,10,16,Tom Brady pass incomplete short right intended for Ben Watson,3.900,3.080
3,0:01,3,10,ATL 16,10,16,Tom Brady pass complete short right to Kevin Faulk for 1 yard (tackle by Jonathan Babineaux and Mike Peterson),3.080,2.440
Quarter,Time,Down,ToGo,Location,ATL,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,9,ATL 15,10,19,Stephen Gostkowski 33 yard field goal good,2.440,3.000
4,,,,NWE 30,10,19,"Stephen Gostkowski kicks off 79 yards, touchback",0.000,0.280
4,14:55,1,10,ATL 20,10,19,Matt Ryan pass complete deep left to Tony Gonzalez for 16 yards (tackle by Brandon Meriweather),0.280,1.330
4,14:28,1,10,ATL 36,10,19,Matt Ryan pass complete short right to Roddy White for -4 yards (tackle by Adalius Thomas),1.330,0.250
4,13:50,2,14,ATL 32,10,19,Matt Ryan pass incomplete short left intended for Michael Jenkins (defended by Leigh Bodden),0.250,-0.430
4,13:44,3,14,ATL 32,10,19,Matt Ryan pass complete short right to Jason Snelling for 7 yards (tackle by Brandon McGowan and James Sanders),-0.430,-0.780
4,13:20,4,7,ATL 39,10,19,". Michael Koenen fumbles, recovered by Michael Koenen at ATL-24. Penalty on Jason Snelling: Ineligible Downfield Kic, 5 yards",-0.780,-1.140
4,13:07,1,10,NWE 33,10,19,Julian Edelman left end for 5 yards (tackle by Thomas DeCoud),1.140,1.270
4,12:41,2,5,NWE 38,10,19,Tom Brady pass incomplete short middle intended for Julian Edelman,1.270,0.560
4,12:37,3,5,NWE 38,10,19,Tom Brady pass incomplete short right intended for Chris Baker,0.560,-0.850
4,12:33,4,5,NWE 38,10,19,"Chris Hanson punts 36 yards, fair catch by Eric Weems",-0.850,-0.670
4,12:26,1,10,ATL 26,10,19,Michael Turner middle for 4 yards (tackle by Adalius Thomas and Myron Pryor),0.670,0.670
4,11:53,2,6,ATL 30,10,19,Michael Turner middle for 3 yards (tackle by Shawn Springs and Gary Guyton),0.670,0.370
4,11:11,3,3,ATL 33,10,19,Matt Ryan pass incomplete short right intended for Marty Booker,0.370,-1.180
4,11:05,4,3,ATL 33,10,19,"Michael Koenen punts 41 yards, returned by Kevin Faulk for 2 yards (tackle by Eric Weems)",-1.180,-0.810
4,10:55,1,10,NWE 28,10,19,Tom Brady pass complete short right to Randy Moss for 16 yards (tackle by Brian Williams and Mike Peterson),0.810,1.860
4,10:08,,,,10,19,Timeout #1 by New England Patriots,0.000,1.860
4,10:08,1,10,NWE 44,10,19,Kevin Faulk left guard for 5 yards (tackle by Curtis Lofton),1.860,1.990
4,9:35,2,5,NWE 49,10,19,Kevin Faulk left tackle for 2 yards (tackle by Kroy Biermann and Thomas Johnson),1.990,1.550
4,8:50,3,3,ATL 49,10,19,"Tom Brady pass incomplete short right intended for Randy Moss. Penalty on Brent Grimes: Defensive Pass Interfere, 9 yards (no play)",1.550,2.920
4,8:46,1,10,ATL 40,10,19,Fred Taylor left end for 4 yards (tackle by Mike Peterson),2.920,2.910
4,8:03,2,6,ATL 36,10,19,Tom Brady pass incomplete deep right intended for Randy Moss,2.910,2.210
4,7:55,,,,10,19,Timeout #2 by New England Patriots,0.000,2.210
4,7:55,3,6,ATL 36,10,25,"Tom Brady pass complete deep right to Chris Baker for 36 yards, touchdown",2.210,7.000
4,,,,ATL 2,10,26,Stephen Gostkowski kicks extra point good,0.000,0.000
4,,,,NWE 30,10,26,"Stephen Gostkowski kicks off 68 yards, returned by Eric Weems for 23 yards (tackle by Sam Aiken)",0.000,0.610
4,7:40,1,10,ATL 25,10,26,Matt Ryan pass incomplete short middle intended for Jason Snelling,0.610,0.060
4,7:36,2,10,ATL 25,10,26,Matt Ryan pass complete short left to Marty Booker for 6 yards (tackle by James Sanders),0.060,0.170
4,7:07,3,4,ATL 31,10,26,Matt Ryan pass incomplete left intended for Marty Booker (defended by Myron Pryor),0.170,-1.310
4,7:02,4,4,ATL 31,10,26,Michael Koenen punts 47 yards,-1.310,-0.410
4,6:52,1,10,NWE 22,10,26,Fred Taylor middle for 1 yard (tackle by Chauncey Davis),0.410,0.000
4,6:09,2,9,NWE 23,10,26,Fred Taylor middle for 7 yards (tackle by Trey Lewis and Stephen Nicholas),0.000,0.230
4,5:26,3,2,NWE 30,10,26,Tom Brady pass complete short right to Randy Moss for 11 yards (tackle by Brent Grimes),0.230,1.660
4,4:43,1,10,NWE 41,10,26,Tom Brady pass complete short left to Sammy Morris for 17 yards (tackle by Erik Coleman),1.660,2.790
4,3:57,1,10,ATL 42,10,26,Fred Taylor left guard for 3 yards (tackle by Trey Lewis and Chris Houston),2.790,2.650
4,3:15,2,7,ATL 39,10,26,Fred Taylor left end for 3 yards (tackle by Erik Coleman and Kroy Biermann),2.650,2.340
4,2:31,3,4,ATL 36,10,26,Fred Taylor left guard for 3 yards (tackle by Curtis Lofton and Mike Peterson),2.340,1.210
4,2:00,4,1,ATL 33,10,26,Tom Brady pass complete short left to Randy Moss for 8 yards (tackle by Chris Houston),1.210,3.910
4,1:17,1,10,ATL 25,10,26,Fred Taylor middle for -2 yards (tackle by Mike Peterson and Chris Houston),3.910,3.090
4,1:12,,,,10,26,Timeout #3 by Atlanta Falcons,0.000,3.090
4,1:12,2,12,ATL 27,10,26,Tom Brady kneels for -1 yards,3.090,2.280
4,0:39,3,13,ATL 28,10,26,Tom Brady kneels for -1 yards,2.280,1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
