Unnamed: 0,ATL,TAM
First Downs,20,21
Rush-Yds-TDs,38-156-1,20-73-0
Cmp-Att-Yd-TD-INT,19-25-250-0-0,27-42-275-1-1
Sacked-Yards,1-5,3-19
Net Pass Yards,245,256
Total Yards,401,329
Fumbles-Lost,3-3,2-1
Turnovers,3,2
Penalties-Yards,9-60,9-66
Third Down Conv.,7-13,6-12
Fourth Down Conv.,0-0,0-1
Time of Possession,29:59,30:01
