Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Baker Mayfield pass complete short right to Chris Godwin for 2 yards (tackle by Jessie Bates),0.610,0.330
1,14:25,2,8,TAM 27,0,0,Baker Mayfield pass complete short middle to Mike Evans for 9 yards (tackle by Richie Grant),0.330,1.330
1,13:44,1,10,TAM 36,0,0,Rachaad White up the middle for -1 yards (tackle by Bud Dupree and Jessie Bates),1.330,0.660
1,13:07,2,11,TAM 35,0,0,Baker Mayfield pass incomplete short left intended for Rakim Jarrett (defended by Grady Jarrett),0.660,-0.030
1,12:58,3,11,TAM 35,0,0,Baker Mayfield pass complete short right to Rachaad White for 11 yards (tackle by Grady Jarrett),-0.030,1.990
1,12:24,1,10,TAM 46,0,0,Rachaad White up the middle for 3 yards (tackle by Ta'Quon Graham and Richie Grant),1.990,1.860
1,11:38,2,7,TAM 49,0,0,"Baker Mayfield pass incomplete short left. Penalty on AJ Terrell: Defensive Holding, 5 yards (accepted) (no play)",1.860,2.520
1,11:32,1,10,ATL 46,0,0,Baker Mayfield pass complete short left to Deven Thompkins for 5 yards (tackle by Jeff Okudah),2.520,2.650
1,10:55,2,5,ATL 41,0,0,Baker Mayfield pass incomplete deep right intended for Chris Godwin,2.650,1.950
1,10:51,3,5,ATL 41,0,0,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by AJ Terrell),1.950,0.530
1,10:46,4,5,ATL 41,0,0,Baker Mayfield pass incomplete short right,0.530,-1.730
1,10:39,1,10,ATL 42,0,0,Desmond Ridder pass complete short middle to KhaDarel Hodge for 19 yards (tackle by Ryan Neal),1.730,2.980
1,10:16,1,10,TAM 39,0,0,Tyler Allgeier right tackle for 4 yards (tackle by Lavonte David),2.980,2.980
1,9:42,2,6,TAM 35,0,0,Desmond Ridder pass complete short left to Jonnu Smith for 7 yards (tackle by Lavonte David and Ryan Neal),2.980,3.710
1,9:10,1,10,TAM 28,0,0,Cordarrelle Patterson left end for 4 yards (tackle by Jamel Dean),3.710,3.710
1,8:38,2,6,TAM 24,0,0,Desmond Ridder pass complete deep right to Jonnu Smith for 18 yards (tackle by Carlton Davis),3.710,5.830
1,8:03,1,6,TAM 6,0,0,Tyler Allgeier left tackle for 2 yards (tackle by William Gholston),5.830,5.340
1,7:24,2,4,TAM 4,0,0,Desmond Ridder pass complete short right to Jonnu Smith for 2 yards (tackle by Lavonte David),5.340,4.950
1,6:53,3,2,TAM 2,6,0,"Desmond Ridder left end for 2 yards, touchdown",4.950,7.000
1,6:48,,,TAM 15,7,0,Younghoe Koo kicks extra point good,0.000,0.000
1,6:48,,,ATL 35,7,0,"Bradley Pinion kicks off 64 yards, returned by Deven Thompkins for 32 yards (tackle by Micah Abernathy)",0.000,1.140
1,6:40,1,10,TAM 33,7,0,"Baker Mayfield pass incomplete short left. Penalty on AJ Terrell: Defensive Holding, 5 yards (accepted) (no play)",1.140,1.470
1,6:37,1,10,TAM 38,7,0,Baker Mayfield pass incomplete deep left intended for Chris Godwin,1.470,0.920
1,6:32,2,10,TAM 38,7,0,Baker Mayfield pass complete short right to Cade Otton for 11 yards (tackle by Nathan Landman),0.920,2.190
1,5:55,1,10,TAM 49,7,0,Ke'Shawn Vaughn left guard for 9 yards (tackle by Arnold Ebiketie),2.190,2.860
1,5:30,2,1,ATL 42,7,0,"Penalty on Matt Feiler: False Start, 5 yards (accepted) (no play)",2.860,2.190
1,5:18,2,6,ATL 47,7,0,Baker Mayfield pass complete short right to Cade Otton for 5 yards (tackle by Jessie Bates and Nathan Landman),2.190,2.150
1,4:53,3,1,ATL 42,7,0,Baker Mayfield up the middle for 2 yards (tackle by Kaden Elliss),2.150,2.920
1,4:10,1,10,ATL 40,7,0,Ke'Shawn Vaughn left tackle for no gain (tackle by Jeff Okudah and Grady Jarrett),2.920,2.370
1,3:32,2,10,ATL 40,7,6,"Baker Mayfield pass complete deep left to Mike Evans for 40 yards, touchdown",2.370,7.000
1,3:24,,,ATL 15,7,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,3:24,,,TAM 35,7,7,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
1,3:24,1,10,ATL 25,7,7,Tyler Allgeier right end for 3 yards (tackle by Vita Vea),0.610,0.470
1,2:53,2,7,ATL 28,7,7,Desmond Ridder pass complete short left to Kyle Pitts for 3 yards (tackle by Devin White),0.470,0.170
1,2:18,3,4,ATL 31,7,7,Desmond Ridder pass incomplete short left intended for Kyle Pitts (defended by Lavonte David),0.170,-1.310
1,2:15,4,4,ATL 31,7,7,"Penalty on Micah Abernathy: False Start, 5 yards (accepted) (no play)",-1.310,-1.630
1,2:15,4,9,ATL 26,7,7,"Bradley Pinion punts 43 yards, returned by Deven Thompkins for 3 yards (tackle by DeAngelo Malone)",-1.630,-1.200
1,2:05,1,10,TAM 34,7,7,Baker Mayfield pass complete short middle to Rachaad White for 6 yards (tackle by Nathan Landman),1.200,1.470
1,1:34,2,4,TAM 40,7,7,"Penalty on Trey Palmer: False Start, 5 yards (accepted) (no play)",1.470,0.790
1,1:20,2,9,TAM 35,7,7,"Rachaad White right guard for no gain (tackle by Nathan Landman and Kaden Elliss). Penalty on Robert Hainsey: Offensive Holding, 10 yards (accepted) (no play)",0.790,-0.560
1,1:03,2,19,TAM 25,7,7,Baker Mayfield pass complete short right to Trey Palmer for 5 yards (tackle by Kaden Elliss),-0.560,-0.560
1,0:27,3,14,TAM 30,7,7,"Penalty on TAM: False Start, 5 yards (accepted) (no play)",-0.560,-1.220
1,0:18,3,19,TAM 25,7,7,Baker Mayfield pass complete short left to Mike Evans for 6 yards (tackle by Kaden Elliss),-1.220,-1.310
Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,13,TAM 31,7,7,"Jake Camarda punts 45 yards, returned by Mike Hughes for 9 yards (tackle by SirVocea Dennis)",-1.310,-1.140
2,14:51,1,10,ATL 33,7,7,Desmond Ridder pass complete deep middle to Scott Miller for 46 yards (tackle by Carlton Davis),1.140,4.170
2,14:13,1,10,TAM 21,7,7,Tyler Allgeier left tackle for 3 yards (tackle by William Gholston),4.170,4.040
2,13:45,2,7,TAM 18,7,7,Desmond Ridder pass complete short right to Drake London for 6 yards (tackle by Lavonte David),4.040,4.490
2,13:14,3,1,TAM 12,7,7,Tyler Allgeier right guard for 4 yards (tackle by Antoine Winfield and Carlton Davis),4.490,5.370
2,12:39,1,8,TAM 8,7,7,Desmond Ridder pass incomplete short middle,5.370,4.570
2,12:33,2,8,TAM 8,7,7,Cordarrelle Patterson up the middle for 3 yards (tackle by Christian Izien),4.570,4.260
2,11:59,3,5,TAM 5,7,7,Desmond Ridder pass incomplete short left intended for Drake London (defended by Antoine Winfield),4.260,3.010
2,11:54,4,5,TAM 5,10,7,Younghoe Koo 24 yard field goal good,3.010,3.000
2,11:51,,,ATL 35,10,7,"Bradley Pinion kicks off 65 yards, returned by Deven Thompkins for 18 yards (tackle by KhaDarel Hodge)",0.000,0.040
2,11:47,1,10,TAM 18,10,7,"Rachaad White right tackle for no gain (tackle by David Onyemata and Nathan Landman) Penalty on TAM: Illegal Formation, 5 yards (declined)",0.040,-0.490
2,11:21,2,10,TAM 18,10,7,Baker Mayfield pass complete short middle to Chris Godwin for 6 yards (tackle by AJ Terrell),-0.490,-0.400
2,10:44,3,4,TAM 24,10,7,Baker Mayfield pass complete short left to Chris Godwin for 13 yards (tackle by Richie Grant),-0.400,1.400
2,10:08,1,10,TAM 37,10,7,Baker Mayfield pass incomplete deep middle intended for Rakim Jarrett,1.400,0.860
2,10:01,2,10,TAM 37,10,7,Baker Mayfield pass incomplete short right intended for Payne Durham,0.860,0.170
2,9:57,3,10,TAM 37,10,7,"Baker Mayfield pass incomplete deep right intended for Rakim Jarrett. Penalty on Jeff Okudah: Defensive Holding, 5 yards (accepted) (no play)",0.170,1.730
2,9:52,1,10,TAM 42,10,7,Baker Mayfield pass incomplete short left intended for Ke'Shawn Vaughn,1.730,1.190
2,9:47,2,10,TAM 42,10,7,Baker Mayfield pass complete short middle to Mike Evans for 16 yards (tackle by AJ Terrell and Richie Grant),1.190,2.790
2,9:03,1,10,ATL 42,10,7,Ke'Shawn Vaughn up the middle for 2 yards (tackle by Nathan Landman),2.790,2.510
2,8:25,2,8,ATL 40,10,7,Baker Mayfield pass complete short right to Deven Thompkins for 9 yards,2.510,3.510
