Unnamed: 0,KAN,TEN
First Downs,20,19
Rush-Yds-TDs,26-120-1,22-105-1
Cmp-Att-Yd-TD-INT,20-39-245-0-1,21-41-247-1-2
Sacked-Yards,2-12,3-13
Net Pass Yards,233,234
Total Yards,353,339
Fumbles-Lost,1-1,2-1
Turnovers,2,3
Penalties-Yards,9-61,6-35
Third Down Conv.,1-12,4-14
Fourth Down Conv.,0-0,2-3
Time of Possession,31:17,28:43
