Quarter,Time,Tm,Detail,KAN,TEN
1.0,11:40,Chiefs,Marcus Cooper fumble recovery in end zone (Ryan Succop kick),7,0
2.0,14:55,Chiefs,Ryan Succop 29 yard field goal,10,0
,0:09,Chiefs,Ryan Succop 24 yard field goal,13,0
3.0,12:09,Titans,Chris Johnson 49 yard pass from Ryan Fitzpatrick (Rob Bironas kick),13,7
,6:37,Titans,Rob Bironas 22 yard field goal,13,10
4.0,14:52,Titans,Ryan Fitzpatrick 9 yard rush (Rob Bironas kick),13,17
,6:23,Chiefs,Jamaal Charles 1 yard rush (Ryan Succop kick),20,17
,4:10,Chiefs,Ryan Succop 33 yard field goal,23,17
,2:12,Chiefs,Ryan Succop 48 yard field goal,26,17
