Quarter,Time,Down,ToGo,Location,KAN,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,KAN 20,0,0,Jamaal Charles left end for 2 yards (tackle by Akeem Ayers),0.280,0.000
1,14:21,2,8,KAN 22,0,0,"Penalty on Antonio Johnson: Encroachment, 5 yards (no play)",0.000,0.680
1,14:06,2,3,KAN 27,0,0,Alex Smith pass complete short left to Chad Hall for 9 yards (tackle by Zach Brown),0.680,1.330
1,13:28,1,10,KAN 36,0,0,Alex Smith pass incomplete short left intended for Chad Hall (defended by Michael Griffin),1.330,0.790
1,13:24,2,10,KAN 36,0,0,"Alex Smith pass incomplete short left intended for Chad Hall. Penalty on Zach Brown: Defensive Holding, 5 yards (no play)",0.790,1.660
1,13:19,1,10,KAN 41,0,0,Alex Smith pass incomplete short right intended for Chad Hall (defended by Alterraun Verner),1.660,1.120
1,13:14,2,10,KAN 41,0,0,"Penalty on Branden Albert: False Start, 5 yards (no play)",1.120,0.450
1,13:14,2,15,KAN 36,0,0,Alex Smith pass complete short left to Sean McGrath for 17 yards (tackle by Bernard Pollard),0.450,2.460
1,12:33,1,10,TEN 47,0,0,Alex Smith pass incomplete short right intended for Kevin Brock,2.460,1.910
1,12:27,2,10,TEN 47,0,0,Alex Smith pass incomplete short right intended for Sean McGrath,1.910,1.220
1,12:22,3,10,TEN 47,0,0,"Penalty on Donald Stephenson: False Start, 5 yards (no play)",1.220,0.560
1,12:22,3,15,KAN 48,0,0,"Alex Smith pass complete short middle to Dexter McCluster for 18 yards (tackle by Michael Griffin). Penalty on Donnie Avery: Offensive Pass Interference, 10 yards (no play)",0.560,-0.760
1,11:59,3,25,KAN 38,0,0,Alex Smith pass incomplete short right intended for Jamaal Charles,-0.760,-0.850
1,11:52,4,25,KAN 38,6,0,"Dustin Colquitt punts 40 yards, muffed catch by Damian Williams, recovered by Marcus Cooper and returned for no gain, touchdown",-0.850,7.000
1,11:40,,,TEN 2,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,11:40,,,KAN 40,7,0,"Ryan Succop kicks off 64 yards, returned by Darius Reynaud for 22 yards (tackle by Quintin Demps)",0.000,-0.040
1,11:35,1,10,TEN 18,7,0,Chris Johnson left guard for 1 yard (tackle by Dontari Poe),0.040,-0.320
1,11:00,2,9,TEN 19,7,0,Ryan Fitzpatrick pass incomplete short right intended for Delanie Walker,-0.320,-1.040
1,10:56,3,9,TEN 19,7,0,Ryan Fitzpatrick pass incomplete short right intended for Jackie Battle,-1.040,-2.140
1,10:48,4,9,TEN 19,7,0,"Brett Kern punts 49 yards, returned by Dexter McCluster for 6 yards (tackle by Beau Brinkley). Penalty on James-Michael Johnson: Offensive Holding, 10 yards",-2.140,-0.340
1,10:37,1,10,KAN 21,7,0,Jamaal Charles left end for 7 yards (tackle by Moise Fokou),0.340,0.750
1,10:06,2,3,KAN 28,7,0,Jamaal Charles left end for 19 yards (tackle by Michael Griffin),0.750,2.060
1,9:21,1,10,KAN 47,7,0,Alex Smith up the middle for 2 yards (tackle by Bernard Pollard),2.060,1.790
1,8:40,2,8,KAN 49,7,0,Jamaal Charles right tackle for 5 yards (tackle by Karl Klug and Derrick Morgan),1.790,1.790
1,7:54,2,8,KAN 49,7,0,Timeout #1 by Kansas City Chiefs,1.790,1.750
1,7:54,3,3,TEN 46,7,0,Alex Smith pass incomplete short left intended for Chad Hall (defended by Alterraun Verner),1.750,0.200
1,7:50,4,3,TEN 46,7,0,"Dustin Colquitt punts 23 yards, fair catch by Darius Reynaud",0.200,-0.480
1,7:41,1,10,TEN 23,7,0,Chris Johnson right guard for 6 yards (tackle by Dontari Poe),0.480,0.740
1,7:05,2,4,TEN 29,7,0,Chris Johnson left guard for 3 yards (tackle by Tyson Jackson and Akeem Jordan),0.740,0.430
1,6:22,3,1,TEN 32,7,0,Jackie Battle up the middle for no gain (tackle by Dontari Poe),0.430,-1.240
1,5:51,4,1,TEN 32,7,0,"Brett Kern punts 56 yards, returned by Dexter McCluster for 9 yards (tackle by Colin McCarthy). Penalty on Quintin Demps: Offensive Holding, 8 yards",-1.240,0.380
1,5:38,1,10,KAN 9,7,0,Alex Smith pass incomplete short right intended for Dwayne Bowe,-0.380,-0.780
1,5:33,2,10,KAN 9,7,0,Jamaal Charles left tackle for -1 yards (tackle by Moise Fokou),-0.780,-1.540
