Unnamed: 0,MIA,BUF
First Downs,16,18
Rush-Yds-TDs,24-60-0,31-120-0
Cmp-Att-Yd-TD-INT,14-28-141-1-2,17-27-168-0-0
Sacked-Yards,3-17,3-7
Net Pass Yards,124,161
Total Yards,184,281
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,6-69,11-100
Third Down Conv.,3-10,2-12
Fourth Down Conv.,0-0,0-0
Time of Possession,24:57,35:03
