Unnamed: 0,DAL,WAS
First Downs,20,18
Rush-Yds-TDs,32-89-0,24-60-1
Cmp-Att-Yd-TD-INT,23-37-292-3-0,25-38-292-2-1
Sacked-Yards,4-28,3-13
Net Pass Yards,264,279
Total Yards,353,339
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,9-48,6-59
Third Down Conv.,8-17,6-15
Fourth Down Conv.,1-1,0-0
Time of Possession,36:01,33:20
