Quarter,Time,Tm,Detail,PIT,CLE
1.0,8:09,Browns,Chase McLaughlin 30 yard field goal,0,3
2.0,9:18,Steelers,Chris Boswell 31 yard field goal,3,3
3.0,9:36,Browns,D'Ernest Johnson 10 yard rush (Chase McLaughlin kick),3,10
,3:39,Steelers,Najee Harris 8 yard rush (pass failed),9,10
4.0,11:04,Steelers,Pat Freiermuth 2 yard pass from Ben Roethlisberger (pass failed),15,10
