Unnamed: 0,PIT,CLE
First Downs,21,19
Rush-Yds-TDs,32-115-1,23-96-1
Cmp-Att-Yd-TD-INT,22-35-266-1-0,20-31-225-0-0
Sacked-Yards,2-11,4-15
Net Pass Yards,255,210
Total Yards,370,306
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,8-65,5-30
Third Down Conv.,4-13,3-10
Fourth Down Conv.,2-4,0-2
Time of Possession,31:45,28:15
