Unnamed: 0,CLE,STL
First Downs,19,16
Rush-Yds-TDs,24-82-0,26-158-2
Cmp-Att-Yd-TD-INT,30-37-297-0-0,15-23-163-0-0
Sacked-Yards,4-15,2-13
Net Pass Yards,282,150
Total Yards,364,308
Fumbles-Lost,4-4,1-1
Turnovers,4,1
Penalties-Yards,11-98,9-75
Third Down Conv.,3-12,1-9
Fourth Down Conv.,0-1,0-0
Time of Possession,35:33,24:27
