Quarter,Time,Down,ToGo,Location,CLE,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,--,0.000,-1.140
1,14:50,1,10,STL 33,0,0,Nick Foles pass incomplete short left intended for Kenny Britt,1.140,0.590
1,14:45,2,10,STL 33,0,0,Todd Gurley right end for -4 yards (tackle by Jordan Poyer),0.590,-0.620
1,14:08,3,14,STL 29,0,0,Nick Foles pass complete short right to Benny Cunningham for 3 yards (tackle by Christian Kirksey),-0.620,-1.240
1,13:29,4,11,STL 32,0,0,"Johnny Hekker punts 56 yards, returned by Travis Benjamin for 25 yards (tackle by Johnny Hekker). Penalty on Ibraheim Campbell: Illegal Block Above the Waist, 8 yards",-1.240,0.380
1,13:16,1,10,CLE 8,0,0,Isaiah Crowell middle for 8 yards (tackle by Mark Barron),-0.380,-0.090
1,12:42,2,2,CLE 16,0,0,Isaiah Crowell middle for 3 yards (tackle by T.J. McDonald and Mark Barron),-0.090,0.150
1,12:06,1,10,CLE 19,0,6,"Josh McCown pass complete short left to Taylor Gabriel for no gain (tackle by Janoris Jenkins). Taylor Gabriel fumbles (forced by Janoris Jenkins), recovered by Rodney McLeod at CLE-20 and returned for 20 yards, touchdown",0.150,-7.000
1,11:59,,,CLE 19,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,11:59,,,STL 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,11:59,1,10,CLE 20,0,7,Duke Johnson left end for -3 yards (tackle by T.J. McDonald and Janoris Jenkins),0.280,-0.790
1,11:17,2,13,CLE 17,0,7,Josh McCown pass complete short middle to Gary Barnidge for 13 yards (tackle by James Laurinaitis),-0.790,0.940
1,10:48,1,10,CLE 30,0,7,Duke Johnson left guard for 4 yards (tackle by Mark Barron and James Laurinaitis),0.940,0.930
1,10:09,2,6,CLE 34,0,7,Duke Johnson left tackle for -2 yards (tackle by Mark Barron),0.930,-0.030
1,9:24,3,8,CLE 32,0,7,"Josh McCown sacked by William Hayes for -8 yards. Josh McCown fumbles (forced by William Hayes), recovered by Akeem Ayers at CLE-25 (tackle by Josh McCown)",-0.030,-3.910
1,9:15,1,10,CLE 25,0,7,Todd Gurley right guard for 5 yards (tackle by Christian Kirksey),3.910,4.040
1,8:42,2,5,CLE 20,0,7,Todd Gurley right end for -3 yards (tackle by Randy Starks and Nate Orchard),4.040,2.940
1,7:57,3,8,CLE 23,0,7,Nick Foles pass complete short left to Jared Cook for 2 yards (tackle by Karlos Dansby),2.940,2.080
1,7:40,4,6,CLE 21,0,10,Greg Zuerlein 39 yard field goal good,2.080,3.000
1,7:40,,,STL 35,0,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,7:33,1,10,CLE 20,0,10,Josh McCown left end for 9 yards (tackle by T.J. McDonald),0.280,0.950
1,6:59,2,1,CLE 29,0,10,Isaiah Crowell middle for no gain (tackle by Nick Fairley),0.950,0.230
1,6:20,3,1,CLE 29,0,10,Josh McCown pass complete short right to Duke Johnson for 21 yards (tackle by Lamarcus Joyner),0.230,2.260
1,5:44,1,10,,0,10,Isaiah Crowell middle for -2 yards (tackle by Nick Fairley and Akeem Ayers),2.260,1.440
1,5:06,2,12,CLE 48,0,10,Josh McCown pass complete short right to Jim Dray for 5 yards (tackle by Trumaine Johnson),1.440,1.420
1,4:20,3,7,STL 47,0,10,"Josh McCown pass complete short right to Robert Turbin for -1 yards (tackle by Mark Barron). Penalty on Robert Quinn: Defensive Offside, 5 yards (no play)",1.420,2.080
1,3:51,3,2,STL 42,0,10,"Josh McCown pass incomplete short right intended for Gary Barnidge. Penalty on William Hayes: Defensive Offside, 5 yards (no play)",2.080,3.120
1,3:47,1,10,STL 37,0,10,Isaiah Crowell left end for no gain (tackle by Michael Brockers),3.120,2.570
1,3:10,2,10,STL 37,0,10,Josh McCown pass complete short right to Gary Barnidge for 12 yards (tackle by T.J. McDonald),2.570,3.910
1,2:23,1,10,STL 25,0,10,Josh McCown pass complete short middle to Brian Hartline for 8 yards (tackle by Janoris Jenkins and James Laurinaitis),3.910,4.550
1,1:41,2,2,STL 17,0,10,Josh McCown pass complete short left to Brian Hartline for 1 yard (tackle by Janoris Jenkins),4.550,4.060
1,1:04,3,1,STL 16,0,10,Josh McCown middle for 1 yard (tackle by Michael Brockers),4.060,4.580
1,0:23,1,10,STL 15,0,10,Josh McCown pass complete short right to Duke Johnson for -2 yards (tackle by Trumaine Johnson),4.580,3.680
Quarter,Time,Down,ToGo,Location,CLE,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,STL 17,0,10,Josh McCown pass complete short right to Travis Benjamin for 10 yards (tackle by Mark Barron and Trumaine Johnson),3.680,4.680
2,14:20,3,2,STL 7,0,10,Josh McCown sacked by Aaron Donald for 0 yards,4.680,3.000
2,14:07,4,2,STL 7,3,10,Travis Coons 25 yard field goal good,3.000,3.000
2,14:07,,,CLE 35,3,10,"Travis Coons kicks off 64 yards, returned by Benny Cunningham for 21 yards (tackle by Tank Carder)",0.000,-0.410
2,14:00,1,10,STL 22,3,10,Todd Gurley left end for 14 yards (tackle by Jordan Poyer),0.410,1.330
2,13:20,1,10,STL 36,3,10,Todd Gurley middle for -3 yards (tackle by Armonty Bryant and Karlos Dansby),1.330,0.390
2,12:41,2,13,STL 33,3,10,Nick Foles pass complete short left to Tavon Austin for 7 yards (tackle by Paul Kruger and K'Waun Williams),0.390,0.630
2,12:00,3,6,STL 40,3,10,Nick Foles pass incomplete short right intended for Tavon Austin,0.630,-0.720
2,11:56,4,6,STL 40,3,10,Johnny Hekker punts 56 yards,-0.720,0.380
2,11:46,1,10,CLE 4,3,10,Robert Turbin middle for 2 yards (tackle by James Laurinaitis),-0.380,-0.630
2,11:10,2,8,CLE 6,3,10,Josh McCown pass complete short right to Taylor Gabriel for 3 yards (tackle by Trumaine Johnson),-0.630,-0.840
2,10:31,3,5,CLE 9,3,10,Josh McCown pass complete short left to Andrew Hawkins for 2 yards (tackle by Lamarcus Joyner),-0.840,-2.490
2,9:48,4,3,CLE 11,3,10,"Andy Lee punts 51 yards, returned by Tavon Austin for 11 yards (tackle by Christian Kirksey)",-2.490,-2.190
2,9:37,1,10,STL 49,3,10,Nick Foles pass incomplete short right intended for Jared Cook,2.190,1.650
2,9:31,2,10,STL 49,3,10,"Penalty on Greg Robinson: False Start, 5 yards (no play)",1.650,0.970
2,9:31,2,15,STL 44,3,10,Nick Foles pass incomplete short middle intended for Todd Gurley (defended by Barkevious Mingo),0.970,0.300
2,9:26,3,15,STL 44,3,10,Nick Foles pass incomplete deep right intended for Brian Quick. Penalty on Greg Robinson: Offensive Holding (Declined),0.300,-0.460
2,9:15,4,15,STL 44,3,10,"Johnny Hekker punts 47 yards, fair catch by Travis Benjamin",-0.460,0.380
2,9:07,1,10,CLE 9,3,10,Isaiah Crowell middle for 3 yards (tackle by Akeem Ayers),-0.380,-0.560
2,8:50,2,7,CLE 12,3,10,Josh McCown pass incomplete short left intended for Travis Benjamin (defended by Janoris Jenkins),-0.560,-1.070
2,8:44,3,7,CLE 12,3,10,"Penalty on Joe Thomas: False Start, 5 yards (no play)",-1.070,-1.650
2,8:44,3,12,CLE 7,3,10,"Penalty on Mitchell Schwartz: False Start, 4 yards (no play)",-1.650,-2.120
2,8:44,3,16,CLE 3,3,10,Josh McCown left guard for 9 yards (tackle by Lamarcus Joyner),-2.120,-2.490
2,8:07,4,7,CLE 12,3,10,"Andy Lee punts 51 yards, returned by Tavon Austin for 4 yards (tackle by Johnson Bademosi)",-2.490,-1.660
