Unnamed: 0,WAS,SEA
First Downs,16,21
Rush-Yds-TDs,29-146-0,25-84-0
Cmp-Att-Yd-TD-INT,10-27-114-2-1,28-44-264-0-0
Sacked-Yards,1-1,4-24
Net Pass Yards,113,240
Total Yards,259,324
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,6-68,5-52
Third Down Conv.,6-13,6-17
Fourth Down Conv.,0-0,1-3
Time of Possession,25:02,34:58
