Quarter,Time,Tm,Detail,WAS,SEA
1.0,7:34,Redskins,Darnerien McCants 11 yard pass from Shane Matthews (James Tuthill kick),7,0
2.0,14:57,Seahawks,Rian Lindell 23 yard field goal,7,3
,12:34,Redskins,Rod Gardner 19 yard pass from Shane Matthews (James Tuthill kick),14,3
