Unnamed: 0,SFO,NOR
First Downs,18,19
Rush-Yds-TDs,31-144-1,21-59-0
Cmp-Att-Yd-TD-INT,16-25-231-1-1,26-41-267-3-2
Sacked-Yards,0-0,5-36
Net Pass Yards,231,231
Total Yards,375,290
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,10-68,4-53
Third Down Conv.,6-13,3-11
Fourth Down Conv.,0-0,1-3
Time of Possession,30:06,29:54
