Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 65 yards, returned by Felix Jones for 17 yards (tackle by Quintin Demps)",0.000,0.410
1,14:56,1,10,DAL 22,0,0,Marion Barber right tackle for 2 yards (tackle by Sean Jones),0.410,0.140
1,14:23,2,8,DAL 24,0,0,Tony Romo pass incomplete short right intended for Miles Austin (defended by Asante Samuel),0.140,-0.560
1,14:20,3,8,DAL 24,0,0,Tony Romo pass complete deep middle to Roy Williams for 21 yards (tackle by Quintin Mikell),-0.560,1.930
1,13:47,1,10,DAL 45,0,0,Tony Romo sacked by Juqua Parker for -7 yards,1.930,0.440
1,13:13,2,17,DAL 38,0,0,Tony Romo pass incomplete short right intended for Martellus Bennett (defended by Akeem Jordan),0.440,-0.230
1,13:07,3,17,DAL 38,0,0,Tony Romo pass complete short right to Tashard Choice for 8 yards (tackle by Sean Jones and Antonio Dixon),-0.230,-0.320
1,12:29,4,9,DAL 46,0,0,Mat McBriar punts 33 yards,-0.320,-0.340
1,12:21,1,10,PHI 21,0,0,Donovan McNabb pass incomplete deep left intended for Jeremy Maclin,0.340,-0.200
1,12:17,2,10,PHI 21,0,0,"Donovan McNabb pass incomplete short middle intended for DeSean Jackson (defended by Terence Newman). Penalty on Terence Newman: Delay of Game, 5 yards",-0.200,-0.230
1,12:13,3,5,PHI 26,0,0,Donovan McNabb pass incomplete short middle intended for Jeremy Maclin is intercepted by Gerald Sensabaugh at PHI-37,-0.230,-3.120
1,12:05,1,10,PHI 37,0,0,"Tashard Choice left end for 10 yards (tackle by Akeem Jordan). Penalty on Deon Anderson: Offensive Holding, 10 yards (no play)",3.120,2.460
1,11:41,1,20,PHI 47,0,0,Tony Romo pass complete short middle to Marion Barber for 12 yards (tackle by Sheldon Brown),2.460,2.840
1,11:04,2,8,PHI 35,0,0,Marion Barber middle for 2 yards (tackle by Will Witherspoon),2.840,2.410
1,10:20,3,6,PHI 33,0,0,Tony Romo pass complete short left to Jason Witten for 9 yards (tackle by Will Witherspoon),2.410,3.970
1,9:54,1,10,PHI 24,0,0,Kevin Ogletree right end for 6 yards (tackle by Quintin Mikell),3.970,4.290
1,9:10,2,4,PHI 18,0,0,"Penalty on Marc Colombo: False Start, 5 yards (no play)",4.290,3.570
1,8:46,2,9,PHI 23,0,0,Tony Romo pass incomplete short left intended for Miles Austin,3.570,2.870
1,8:40,3,9,PHI 23,0,0,Tony Romo pass complete short right to Kevin Ogletree for 21 yards (tackle by Will Witherspoon),2.870,6.740
1,7:57,1,2,PHI 2,6,0,"Tashard Choice left guard for 2 yards, touchdown",6.740,7.000
1,,,,PHI 2,7,0,Nick Folk kicks extra point good,0.000,0.000
1,,,,DAL 30,7,0,"David Buehler kicks off 67 yards, returned by Ellis Hobbs for 13 yards (tackle by Curtis Johnson)",0.000,-0.140
1,7:47,1,10,PHI 16,7,0,LeSean McCoy left end for 3 yards (tackle by Keith Brooking and DeMarcus Ware),-0.140,-0.180
1,7:13,2,7,PHI 19,7,0,Leonard Weaver middle for 6 yards (tackle by Igor Olshansky),-0.180,-0.200
1,6:35,3,1,PHI 25,7,0,Donovan McNabb pass incomplete short right intended for Alex Smith,-0.200,-1.700
1,6:31,4,1,PHI 25,7,0,"Saverio Rocca punts 41 yards, returned by Patrick Crayton for 7 yards (tackle by Quintin Demps)",-1.700,-1.660
1,6:21,1,10,DAL 41,7,0,Tony Romo pass incomplete short right intended for Deon Anderson,1.660,1.120
1,6:16,2,10,DAL 41,7,0,Felix Jones left tackle for 4 yards (tackle by Moise Fokou),1.120,0.960
1,5:35,3,6,DAL 45,7,0,Tony Romo pass complete short right to Jason Witten for 5 yards (tackle by Asante Samuel),0.960,-0.060
1,5:10,4,1,,7,0,"Mat McBriar punts 35 yards, fair catch by DeSean Jackson",-0.060,0.220
1,5:02,1,10,PHI 15,7,0,Donovan McNabb pass complete short left to Jeremy Maclin for 15 yards (tackle by Mike Jenkins),-0.220,0.940
1,4:25,1,10,PHI 30,7,0,Donovan McNabb for -1 yards (tackle by Keith Brooking),0.940,0.260
1,3:52,2,11,PHI 29,7,0,Donovan McNabb sacked by Jay Ratliff for -7 yards,0.260,-1.350
1,3:34,3,18,PHI 22,7,0,"Donovan McNabb pass complete short right to Leonard Weaver for 17 yards (tackle by Ken Hamlin). Penalty on Todd Herremans: Illegal Formation, 5 yards (no play)",-1.350,-2.360
1,3:07,3,23,PHI 17,7,0,Donovan McNabb pass complete deep middle to Jason Avant for 20 yards (tackle by Gerald Sensabaugh),-2.360,-0.910
1,2:25,4,3,PHI 37,7,0,Saverio Rocca punts 48 yards,-0.910,0.220
1,2:14,1,10,DAL 15,7,0,Tony Romo pass complete short left to Roy Williams for 13 yards (tackle by Sheldon Brown),-0.220,0.810
1,1:43,1,10,DAL 28,7,0,Felix Jones right tackle for no gain (tackle by Akeem Jordan),0.810,0.260
1,0:58,2,10,DAL 28,7,0,Tony Romo pass incomplete short right intended for Martellus Bennett (defended by Quintin Mikell),0.260,-0.430
1,0:54,3,10,DAL 28,7,0,Tony Romo pass complete short left to Jason Witten for 5 yards (tackle by Will Witherspoon),-0.430,-1.180
1,0:19,4,5,DAL 33,7,0,Mat McBriar punts 49 yards,-1.180,-0.040
1,0:12,1,10,PHI 18,7,0,Donovan McNabb pass incomplete short left intended for Jeremy Maclin,0.040,-0.490
1,0:07,2,10,PHI 18,7,0,LeSean McCoy right tackle for 4 yards (tackle by DeMarcus Ware),-0.490,-0.660
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,PHI 22,7,0,Donovan McNabb pass complete deep left to Jason Avant for 23 yards (tackle by Ken Hamlin),-0.660,1.930
2,14:13,1,10,PHI 45,7,0,Donovan McNabb pass complete deep middle to Brent Celek for 20 yards (tackle by Gerald Sensabaugh),1.930,3.250
2,13:30,1,10,DAL 35,7,0,Donovan McNabb pass incomplete deep middle intended for Jeremy Maclin (defended by DeMarcus Ware),3.250,2.700
2,13:24,2,10,DAL 35,7,0,LeSean McCoy right end for 17 yards (tackle by Gerald Sensabaugh),2.700,4.370
2,12:51,1,10,DAL 18,7,0,LeSean McCoy middle for 1 yard (tackle by Gerald Sensabaugh),4.370,3.940
2,12:14,2,9,DAL 17,7,0,Donovan McNabb pass incomplete short middle intended for Jeremy Maclin (defended by Mike Jenkins),3.940,3.170
2,12:09,3,9,DAL 17,7,0,Donovan McNabb sacked by Jay Ratliff for -10 yards,3.170,1.670
2,11:42,4,19,DAL 27,7,3,David Akers 45 yard field goal good,1.670,3.000
2,,,,PHI 30,7,3,"David Akers kicks off 66 yards, returned by Felix Jones for 21 yards (tackle by Joselio Hanson)",0.000,0.610
