Quarter,Time,Tm,Detail,DAL,PHI
1.0,7:54,Cowboys,Tashard Choice 2 yard rush (Nick Folk kick),7,0
2.0,11:38,Eagles,David Akers 45 yard field goal,7,3
,1:38,Eagles,David Akers 48 yard field goal,7,6
,0:04,Cowboys,Nick Folk 22 yard field goal,10,6
3.0,11:48,Eagles,Brent Celek 11 yard pass from Donovan McNabb (David Akers kick),10,13
4.0,14:52,Cowboys,Nick Folk 33 yard field goal,13,13
,8:04,Cowboys,Miles Austin 49 yard pass from Tony Romo (Nick Folk kick),20,13
,4:27,Eagles,David Akers 52 yard field goal,20,16
