Unnamed: 0,DAL,PHI
First Downs,18,17
Rush-Yds-TDs,23-76-1,23-88-0
Cmp-Att-Yd-TD-INT,21-34-307-1-1,16-30-227-1-2
Sacked-Yards,4-25,3-18
Net Pass Yards,282,209
Total Yards,358,297
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,11-70,8-82
Third Down Conv.,7-15,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,31:44,28:16
