Quarter,Time,Tm,Detail,BUF,PIT
1.0,7:59,Steelers,Jeff Reed 34 yard field goal,0,3
2.0,10:02,Steelers,Jeff Reed 28 yard field goal,0,6
,3:08,Steelers,Jeff Reed 39 yard field goal,0,9
,0:15,Steelers,Jeff Reed 31 yard field goal,0,12
3.0,9:55,Bills,Rian Lindell 24 yard field goal,3,12
,4:40,Steelers,Matt Spaeth 1 yard pass from Ben Roethlisberger (Jeff Reed kick),3,19
4.0,7:13,Steelers,Willie Parker 11 yard rush (Jeff Reed kick),3,26
