Unnamed: 0,BUF,PIT
First Downs,10,24
Rush-Yds-TDs,22-102-0,33-184-1
Cmp-Att-Yd-TD-INT,15-25-154-0-0,21-34-242-1-1
Sacked-Yards,4-33,1-6
Net Pass Yards,121,236
Total Yards,223,420
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,5-55,2-9
Third Down Conv.,5-13,11-16
Fourth Down Conv.,0-3,0-0
Time of Possession,24:33,35:27
