Quarter,Time,Down,ToGo,Location,BUF,PIT,Detail,EPB,EPA
1,7:51,1,10,BUF 43,0,3,Marshawn Lynch left end for 12 yards (tackle by Larry Foote),1.800,2.590
1,7:21,1,10,PIT 45,0,3,Marshawn Lynch right tackle for no gain (tackle by James Farrior),2.590,2.040
1,6:44,2,10,PIT 45,0,3,J.P. Losman sacked by James Harrison for -7 yards,2.040,0.430
1,6:07,3,17,BUF 48,0,3,J.P. Losman pass complete short left to Roscoe Parrish for 15 yards (tackle by Deshea Townsend),0.430,0.790
1,5:24,4,2,PIT 37,0,3,J.P. Losman pass incomplete short left intended for Lee Evans,0.790,-1.400
1,5:20,1,10,PIT 37,0,3,Ben Roethlisberger pass incomplete deep middle intended for Santonio Holmes is intercepted by Jim Leonhard at BUF-11 and returned for 24 yards (tackle by Heath Miller),1.400,-1.270
1,5:07,1,10,BUF 35,0,3,Marshawn Lynch right tackle for 9 yards (tackle by Ike Taylor),1.270,1.940
1,4:25,2,1,BUF 44,0,3,Marshawn Lynch right end for no gain (tackle by Aaron Smith and Ike Taylor),1.940,1.220
1,3:43,3,1,BUF 44,0,3,Marshawn Lynch up the middle for no gain (tackle by Brett Keisel and Casey Hampton),1.220,-0.460
1,3:00,4,1,BUF 44,0,3,Brian Moorman punts 39 yards,-0.460,0.060
1,2:50,1,10,PIT 17,0,3,Carey Davis up the middle for 4 yards (tackle by Chris Kelsay),-0.060,0.080
1,2:15,2,6,PIT 21,0,3,Ben Roethlisberger pass complete short right to Carey Davis for no gain,0.080,-0.750
1,1:26,3,6,PIT 21,0,3,Ben Roethlisberger pass complete short left to Cedrick Wilson for 12 yards (tackle by Jabari Greer),-0.750,1.140
1,1:02,1,10,PIT 33,0,3,"Willie Parker left tackle for -1 yards (tackle by Angelo Crowell and Paul Posluszny). Penalty on Tim Anderson: Defensive Holding, 5 yards (no play)",1.140,1.470
1,0:30,,,,0,3,Timeout #1 by Pittsburgh Steelers,0.000,1.470
1,0:30,1,10,PIT 38,0,3,Willie Parker up the middle for 11 yards (tackle by Angelo Crowell and Jim Leonhard),1.470,2.190
Quarter,Time,Down,ToGo,Location,BUF,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 49,0,3,Ben Roethlisberger pass complete short left to Hines Ward for 6 yards (tackle by Ashton Youboty),2.190,2.460
2,14:30,2,4,BUF 45,0,3,Willie Parker up the middle for no gain (tackle by John DiGiorgio and Paul Posluszny),2.460,1.750
2,13:51,3,4,BUF 45,0,3,Ben Roethlisberger pass complete short middle to Hines Ward for 12 yards (tackle by Kiwaukee Thomas),1.750,3.380
2,13:08,1,10,BUF 33,0,3,Willie Parker right tackle for no gain (tackle by Donte Whitner and Kyle Williams),3.380,2.840
2,12:29,2,10,BUF 33,0,3,Ben Roethlisberger pass complete short left to Hines Ward for 6 yards (tackle by Ashton Youboty),2.840,2.940
2,11:44,3,4,BUF 27,0,3,Ben Roethlisberger pass complete short middle to Santonio Holmes for 9 yards (tackle by Ashton Youboty),2.940,4.370
2,11:00,,,,0,3,Timeout #2 by Pittsburgh Steelers,0.000,4.370
2,11:00,1,10,BUF 18,0,3,Ben Roethlisberger pass incomplete deep left intended for Hines Ward,4.370,3.800
2,10:55,2,10,BUF 18,0,3,Ben Roethlisberger pass complete short right to Willie Parker for 8 yards (tackle by Paul Posluszny),3.800,4.510
2,10:09,3,2,BUF 10,0,3,Ben Roethlisberger pass incomplete short left intended for Dan Kreider,4.510,2.890
2,10:05,4,2,BUF 10,0,6,Jeff Reed 28 yard field goal good,2.890,3.000
2,,,,PIT 30,0,6,"Jeff Reed kicks off 52 yards, returned by Terrence McGee for 6 yards (tackle by Bryant McFadden)",0.000,0.540
2,9:57,1,10,BUF 24,0,6,J.P. Losman pass complete short left to Ryan Neufeld for 8 yards (tackle by James Farrior),0.540,1.080
2,9:20,2,2,BUF 32,0,6,Marshawn Lynch left guard for no gain (tackle by Aaron Smith),1.080,0.370
2,8:35,3,2,BUF 32,0,6,J.P. Losman pass incomplete short middle intended for Anthony Thomas (defended by James Farrior),0.370,-1.240
2,8:27,4,2,BUF 32,0,6,"Brian Moorman punts 45 yards, fair catch by Allen Rossum",-1.240,-0.480
2,8:18,1,10,PIT 23,0,6,Willie Parker up the middle for 4 yards (tackle by Paul Posluszny),0.480,0.470
2,7:44,2,6,PIT 27,0,6,Ben Roethlisberger pass complete short right to Matt Spaeth for 9 yards (tackle by John DiGiorgio),0.470,1.330
2,6:59,1,10,PIT 36,0,6,Ben Roethlisberger pass incomplete short left intended for Hines Ward,1.330,0.790
2,6:55,2,10,PIT 36,0,6,Willie Parker right guard for no gain (tackle by Larry Tripplett and Angelo Crowell),0.790,0.100
2,6:14,3,10,PIT 36,0,6,Ben Roethlisberger pass complete deep left to Nate Washington for 21 yards (tackle by Jim Leonhard),0.100,2.720
2,5:29,1,10,BUF 43,0,6,Willie Parker left tackle for 24 yards (tackle by Donte Whitner),2.720,4.310
2,4:50,,,,0,6,Timeout #3 by Pittsburgh Steelers,0.000,4.310
2,4:50,1,10,BUF 19,0,6,Willie Parker right tackle for -1 yards (tackle by John DiGiorgio),4.310,3.630
2,4:08,2,11,BUF 20,0,6,Ben Roethlisberger pass complete short middle to Willie Parker for -1 yards (tackle by Angelo Crowell),3.630,2.810
2,3:18,3,12,BUF 21,0,6,Ben Roethlisberger pass incomplete deep left intended for Santonio Holmes,2.810,2.060
2,3:13,4,12,BUF 21,0,9,Jeff Reed 39 yard field goal good,2.060,3.000
2,,,,PIT 30,0,9,"Jeff Reed kicks off 66 yards, returned by Terrence McGee for 17 yards (tackle by James Harrison)",0.000,0.340
2,3:03,1,10,BUF 21,0,9,J.P. Losman left end for 4 yards (tackle by James Harrison),0.340,0.340
2,2:23,2,6,BUF 25,0,9,"Marshawn Lynch right end for 1 yard (tackle by Ike Taylor). Penalty on Lee Evans: Offensive Holding, 10 yards",0.340,-1.010
2,2:00,2,15,BUF 16,0,9,J.P. Losman pass incomplete short right intended for Roscoe Parrish,-1.010,-1.780
2,1:56,3,15,BUF 16,0,9,Marshawn Lynch right tackle for 8 yards (tackle by Ryan Clark and Clark Haggans). Penalty on BUF: Illegal Shift (Declined),-1.780,-1.770
2,1:51,4,7,BUF 24,0,9,"Brian Moorman punts 45 yards, returned by Allen Rossum for -1 yards (tackle by Ryan Neill)",-1.770,-0.940
2,1:38,1,10,PIT 30,0,9,Ben Roethlisberger pass incomplete short right intended for Nate Washington,0.940,0.390
2,1:32,2,10,PIT 30,0,9,Ben Roethlisberger pass complete deep left to Nate Washington for 30 yards (tackle by Donte Whitner),0.390,2.920
2,1:32,1,10,BUF 40,0,9,Ben Roethlisberger pass complete short middle to Hines Ward for 10 yards (tackle by Paul Posluszny),2.920,3.580
2,1:32,1,10,BUF 30,0,9,Ben Roethlisberger spiked the ball,3.580,3.030
2,0:53,,,,0,9,Timeout #1 by Buffalo Bills,0.000,3.030
2,0:53,2,10,BUF 30,0,9,Ben Roethlisberger pass incomplete short right intended for Cedrick Wilson,3.030,2.340
2,0:46,3,10,BUF 30,0,9,Ben Roethlisberger pass complete deep right to Santonio Holmes for 17 yards (tackle by Terrence McGee),2.340,4.710
2,0:46,1,10,BUF 13,0,9,Ben Roethlisberger spiked the ball,4.710,4.050
2,0:27,2,10,BUF 13,0,9,Ben Roethlisberger pass incomplete short middle intended for Hines Ward (defended by Jabari Greer),4.050,3.120
2,0:22,,,,0,9,Timeout #2 by Buffalo Bills,0.000,3.120
2,0:22,3,10,BUF 13,0,9,Ben Roethlisberger pass incomplete short left intended for Hines Ward (defended by Jabari Greer),3.120,2.570
2,0:18,4,10,BUF 13,0,12,Jeff Reed 31 yard field goal good,2.570,3.000
2,,,,PIT 30,0,12,"Jeff Reed kicks off 48 yards, returned by Ryan Neufeld for 7 yards (tackle by Ryan Clark)",0.000,0.870
2,0:10,1,10,BUF 29,0,12,Marshawn Lynch up the middle for 8 yards (tackle by Brett Keisel and Clark Haggans),0.870,1.410
Quarter,Time,Down,ToGo,Location,BUF,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,0,12,"Jeff Reed kicks off 65 yards, returned by Terrence McGee for 63 yards (tackle by Lawrence Timmons)",0.000,3.450
3,14:46,1,10,PIT 32,0,12,Marshawn Lynch up the middle for 8 yards (tackle by Clark Haggans),3.450,3.980
3,14:13,2,2,PIT 24,0,12,Marshawn Lynch right tackle for 1 yard (tackle by James Farrior),3.980,3.400
3,13:53,3,1,PIT 23,0,12,J.P. Losman up the middle for 2 yards (tackle by Casey Hampton and James Farrior),3.400,4.170
3,13:16,1,10,PIT 21,0,12,Marshawn Lynch left guard for 8 yards (tackle by Deshea Townsend),4.170,4.950
3,12:36,2,2,PIT 13,0,12,Marshawn Lynch up the middle for 4 yards (tackle by James Farrior and Brett Keisel),4.950,5.140
3,11:56,1,9,PIT 9,0,12,"Anthony Thomas up the middle for 3 yards (tackle by Deshea Townsend and James Farrior). Penalty on Troy Polamalu: Defensive Offside, 4 yards (no play)",5.140,6.060
3,11:33,1,5,PIT 5,0,12,Marshawn Lynch right tackle for -2 yards (tackle by James Farrior and Troy Polamalu),6.060,4.760
3,10:55,2,7,PIT 7,0,12,Marshawn Lynch right guard for 2 yards (tackle by LaMarr Woodley),4.760,4.260
3,10:04,3,5,PIT 5,0,12,J.P. Losman pass incomplete short right intended for Peerless Price,4.260,3.010
3,9:58,4,5,PIT 5,3,12,Rian Lindell 24 yard field goal good,3.010,3.000
3,,,,BUF 30,3,12,"Rian Lindell kicks off 63 yards, returned by Allen Rossum for 31 yards (tackle by Kiwaukee Thomas)",0.000,1.470
3,9:48,1,10,PIT 38,3,12,Willie Parker left tackle for 7 yards (tackle by Paul Posluszny),1.470,1.870
3,9:16,2,3,PIT 45,3,12,Willie Parker up the middle for 1 yard (tackle by Larry Tripplett and Paul Posluszny),1.870,1.290
3,8:37,3,2,PIT 46,3,12,Willie Parker left guard for 16 yards (tackle by Donte Whitner),1.290,3.050
3,8:02,1,10,BUF 38,3,12,Najeh Davenport right tackle for no gain (tackle by Larry Tripplett and John DiGiorgio),3.050,2.510
3,7:20,2,10,BUF 38,3,12,Willie Parker up the middle for 6 yards (tackle by Paul Posluszny),2.510,2.610
3,6:35,3,4,BUF 32,3,12,Ben Roethlisberger pass complete short right to Santonio Holmes for 27 yards (tackle by Donte Whitner),2.610,6.060
3,6:01,,,,3,12,Timeout #1 by Buffalo Bills,0.000,6.060
3,6:01,1,5,BUF 5,3,12,Willie Parker right guard for 4 yards (tackle by Jim Leonhard),6.060,5.910
3,5:22,2,1,BUF 1,3,12,Willie Parker left tackle for no gain (tackle by Paul Posluszny and Angelo Crowell),5.910,5.170
3,4:46,3,1,BUF 1,3,18,"Ben Roethlisberger pass complete short left to Matt Spaeth for 1 yard, touchdown",5.170,7.000
3,,,,BUF 2,3,19,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,3,19,"Jeff Reed kicks off 75 yards, returned by Terrence McGee for 27 yards (tackle by Najeh Davenport). Penalty on John DiGiorgio: Offensive Holding, 10 yards",0.000,-0.350
3,4:40,1,10,BUF 12,3,19,J.P. Losman pass complete short right to Peerless Price for 2 yards (tackle by Deshea Townsend),-0.350,-0.610
3,4:40,2,8,BUF 14,3,19,J.P. Losman pass complete short right to Robert Royal for 5 yards (tackle by Ike Taylor),-0.610,-0.600
3,3:13,3,3,BUF 19,3,19,J.P. Losman pass complete short left to Peerless Price for 9 yards (tackle by Deshea Townsend),-0.600,0.810
3,2:44,1,10,BUF 28,3,19,J.P. Losman up the middle for 15 yards (tackle by Nick Eason),0.810,1.800
3,2:07,1,10,BUF 43,3,19,J.P. Losman pass complete short left to Lee Evans for 9 yards (tackle by Deshea Townsend),1.800,2.470
3,1:24,2,1,PIT 48,3,19,Marshawn Lynch left guard for -3 yards (tackle by Larry Foote and Casey Hampton),2.470,1.350
3,0:49,3,4,BUF 49,3,19,J.P. Losman pass complete short middle to Peerless Price for 22 yards (tackle by LaMarr Woodley),1.350,3.640
3,0:49,1,10,PIT 29,3,19,J.P. Losman pass incomplete deep right intended for Lee Evans,3.640,3.100
3,0:06,2,10,PIT 29,3,19,"Penalty on Clark Haggans: Neutral Zone Infraction, 5 yards (no play)",3.100,3.780
3,0:06,2,5,PIT 24,3,19,J.P. Losman pass complete short left to Roscoe Parrish for 3 yards (tackle by Deshea Townsend),3.780,3.470
Quarter,Time,Down,ToGo,Location,BUF,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,PIT 21,3,19,J.P. Losman pass incomplete short left intended for Lee Evans,3.470,2.180
4,14:57,4,2,PIT 21,3,19,"J.P. Losman sacked by Larry Foote for -7 yards. J.P. Losman fumbles (forced by Larry Foote), recovered by Anthony Thomas at PIT-28",2.180,-0.810
4,14:48,1,10,PIT 28,3,19,Ben Roethlisberger pass complete deep left to Hines Ward for 21 yards (tackle by Jim Leonhard),0.810,2.190
4,14:09,1,10,PIT 49,3,19,Willie Parker left guard for no gain (tackle by Kyle Williams),2.190,1.650
4,13:29,2,10,PIT 49,3,19,Ben Roethlisberger sacked by Aaron Schobel for -6 yards,1.650,0.170
4,12:50,3,16,PIT 43,3,19,Ben Roethlisberger pass complete short left to Najeh Davenport for 9 yards (tackle by Aaron Schobel),0.170,0.070
4,12:15,4,7,BUF 48,3,19,Daniel Sepulveda punts 41 yards,0.070,0.380
4,12:02,1,10,BUF 7,3,19,Marshawn Lynch right tackle for 1 yard (tackle by LaMarr Woodley),-0.380,-0.710
4,11:25,2,9,BUF 8,3,19,J.P. Losman pass complete short right to Michael Gaines for 14 yards (tackle by James Farrior),-0.710,0.410
4,10:46,1,10,BUF 22,3,19,J.P. Losman pass incomplete deep right intended for Roscoe Parrish (defended by Ryan Clark),0.410,-0.130
4,10:32,,,,3,19,Timeout #1 by Pittsburgh Steelers,0.000,-0.130
4,10:32,2,10,BUF 22,3,19,J.P. Losman sacked by Clark Haggans for -11 yards. Penalty on Robert Royal: Offensive Holding (Declined),-0.130,-2.710
4,10:01,3,21,BUF 11,3,19,J.P. Losman pass complete short middle to Roscoe Parrish for 8 yards (tackle by James Farrior),-2.710,-2.140
4,9:25,4,13,BUF 19,3,19,"Brian Moorman punts 46 yards, returned by Allen Rossum for 14 yards (tackle by Ryan Neill)",-2.140,-2.190
4,9:13,1,10,PIT 49,3,19,Willie Parker right end for 9 yards (tackle by Donte Whitner),2.190,2.860
4,8:40,2,1,BUF 42,3,19,Willie Parker left guard for 2 yards (tackle by Paul Posluszny and Larry Tripplett),2.860,2.920
4,8:04,1,10,BUF 40,3,19,Ben Roethlisberger pass complete deep left to Heath Miller for 29 yards (tackle by Terrence McGee),2.920,4.840
4,7:18,1,10,BUF 11,3,25,"Willie Parker right guard for 11 yards, touchdown",4.840,7.000
4,,,,BUF 2,3,26,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,3,26,"Jeff Reed kicks off 50 yards, returned by Terrence McGee for 13 yards (tackle by Lawrence Timmons)",0.000,1.140
4,7:07,1,10,BUF 33,3,26,J.P. Losman pass complete short middle to Marshawn Lynch for 21 yards (tackle by Clark Haggans),1.140,2.520
4,6:27,1,10,PIT 46,3,26,J.P. Losman pass incomplete short right intended for Lee Evans,2.520,1.980
4,6:27,2,10,PIT 46,3,26,Marshawn Lynch right end for 7 yards (tackle by James Farrior),1.980,2.210
4,5:38,3,3,PIT 39,3,26,J.P. Losman pass complete short left to Roscoe Parrish for 6 yards (tackle by Bryant McFadden),2.210,3.380
4,5:03,1,10,PIT 33,3,26,J.P. Losman sacked by LaMarr Woodley for -8 yards. Penalty on Langston Walker: Offensive Holding (Declined),3.380,1.760
4,4:56,2,18,PIT 41,3,26,J.P. Losman pass complete short left to Roscoe Parrish for 17 yards (tackle by Deshea Townsend),1.760,3.340
4,4:56,3,1,PIT 24,3,26,"J.P. Losman pass complete short left to Lee Evans for 8 yards (tackle by Bryant McFadden). Penalty on Lee Evans: Unsportsmanlike Conduct, 15 yards",3.340,3.510
4,4:56,1,10,PIT 31,3,26,"J.P. Losman pass incomplete deep left intended for Lee Evans. Penalty on Lee Evans: Taunting, 15 yards",3.510,0.940
4,4:56,2,25,PIT 46,3,26,J.P. Losman pass incomplete short right intended for Peerless Price,0.940,0.300
4,3:58,3,25,PIT 46,3,26,J.P. Losman for 17 yards (tackle by Aaron Smith),0.300,1.500
4,3:58,4,8,PIT 29,3,26,J.P. Losman pass complete short left to Roscoe Parrish for 7 yards (tackle by Deshea Townsend),1.500,-0.410
4,3:51,1,10,PIT 22,3,26,Najeh Davenport up the middle for 7 yards (tackle by Mario Haggan),0.410,0.810
4,3:06,2,3,PIT 29,3,26,Najeh Davenport up the middle for 13 yards (tackle by Jim Leonhard and Terrence McGee),0.810,1.730
4,2:24,1,10,PIT 42,3,26,Najeh Davenport for 11 yards,1.730,2.460
4,2:16,1,10,BUF 47,3,26,Najeh Davenport left guard for 9 yards (tackle by Jim Leonhard and Donte Whitner),2.460,3.130
4,2:00,2,1,BUF 38,3,26,Najeh Davenport left guard for 6 yards (tackle by Chris Kelsay and Angelo Crowell),3.130,3.450
4,1:15,1,10,BUF 32,3,26,Charlie Batch kneels for -1 yards,3.450,2.770
4,0:37,2,11,BUF 33,3,26,Charlie Batch kneels for -1 yards,2.770,1.950
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
