Quarter,Time,Tm,Detail,ATL,TAM
1.0,12:22,Buccaneers,Rob Gronkowski 20 yard pass from Tom Brady (Ryan Succop kick),0,7
2.0,14:07,Buccaneers,Rob Gronkowski 1 yard pass from Tom Brady (Ryan Succop kick),0,14
,11:48,Falcons,Cordarrelle Patterson 10 yard rush (Younghoe Koo kick),7,14
,0:43,Buccaneers,Mike Evans 3 yard pass from Tom Brady (Ryan Succop kick),7,21
,0:00,Falcons,Younghoe Koo 36 yard field goal,10,21
3.0,12:43,Buccaneers,Mike Evans 1 yard pass from Tom Brady (Ryan Succop kick),10,28
,6:35,Falcons,Calvin Ridley 3 yard pass from Matt Ryan (Younghoe Koo kick),17,28
,1:45,Falcons,Cordarrelle Patterson 7 yard pass from Matt Ryan (Matt Ryan run),25,28
4.0,9:18,Buccaneers,Chris Godwin 12 yard pass from Tom Brady (Ryan Succop kick),25,35
,7:53,Buccaneers,Mike Edwards 31 yard interception return (Ryan Succop kick failed),25,41
,4:01,Buccaneers,Mike Edwards 15 yard interception return (Ryan Succop kick),25,48
