Quarter,Time,Tm,Detail,ATL,CAR
1.0,11:14,Falcons,Younghoe Koo 20 yard field goal,3,0
,8:14,Panthers,Curtis Samuel 12 yard rush (Joey Slye kick),3,7
,2:36,Falcons,Younghoe Koo 37 yard field goal,6,7
2.0,12:40,Panthers,Curtis Samuel 29 yard pass from Teddy Bridgewater (Joey Slye kick),6,14
,8:02,Falcons,Matt Ryan 13 yard rush (Younghoe Koo kick),13,14
,0:00,Falcons,Younghoe Koo 36 yard field goal,16,14
3.0,6:22,Falcons,Younghoe Koo 29 yard field goal,19,14
,2:59,Panthers,Joey Slye 39 yard field goal,19,17
4.0,11:01,Falcons,Todd Gurley 3 yard rush (Younghoe Koo kick failed),25,17
