Unnamed: 0,ATL,CAR
First Downs,28,18
Rush-Yds-TDs,36-131-2,22-147-1
Cmp-Att-Yd-TD-INT,21-30-281-0-1,16-27-179-1-1
Sacked-Yards,2-11,3-22
Net Pass Yards,270,157
Total Yards,401,304
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,6-63,6-30
Third Down Conv.,3-9,2-10
Fourth Down Conv.,0-0,1-3
Time of Possession,36:30,23:30
