Quarter,Time,Tm,Detail,ATL,CAR
1.0,12:16,Falcons,Matt Bryant 53 yard field goal,3,0
,3:30,Falcons,Mohamed Sanu 6 yard pass from Matt Ryan (Matt Bryant kick),10,0
2.0,1:55,Panthers,Christian McCaffrey 4 yard rush (Graham Gano kick),10,7
,0:23,Panthers,Cam Newton 9 yard rush (Graham Gano kick),10,14
3.0,9:03,Panthers,Graham Gano 31 yard field goal,10,17
,1:38,Panthers,Graham Gano 45 yard field goal,10,20
4.0,3:25,Falcons,Tevin Coleman 19 yard pass from Matt Ryan (Matt Bryant kick),17,20
