Quarter,Time,Tm,Detail,DAL,NYG
1.0,4:17,Cowboys,Jeff Heath 50 yard defensive fumble return (Dan Bailey kick),7,0
2.0,12:40,Giants,Josh Brown 21 yard field goal,7,3
,9:37,Cowboys,Jason Witten 20 yard pass from Tony Romo (Dan Bailey kick),14,3
,5:18,Giants,Josh Brown 23 yard field goal,14,6
3.0,6:54,Cowboys,Jason Witten 2 yard pass from Tony Romo (Dan Bailey kick),21,6
,4:33,Giants,Brandon Myers 27 yard pass from Eli Manning (Josh Brown kick),21,13
4.0,4:45,Giants,Louis Murphy 4 yard pass from Eli Manning (Andre Brown run),21,21
,0:00,Cowboys,Dan Bailey 35 yard field goal,24,21
