Unnamed: 0,JAX,CAR
First Downs,13,16
Rush-Yds-TDs,34-128-0,28-107-0
Cmp-Att-Yd-TD-INT,12-21-139-1-1,18-34-158-1-0
Sacked-Yards,2-10,0-0
Net Pass Yards,129,158
Total Yards,257,265
Fumbles-Lost,5-0,0-0
Turnovers,1,0
Penalties-Yards,8-60,8-69
Third Down Conv.,3-14,6-16
Fourth Down Conv.,1-2,0-0
Time of Possession,30:26,29:34
