Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,CAR 20,0,0,DeAngelo Williams up the middle for 2 yards (tackle by Paul Posluszny and Austen Lane),0.280,0.000
1,14:20,2,8,CAR 22,0,0,Cam Newton pass complete short left to Greg Olsen for 7 yards (tackle by Dawan Landry),0.000,0.230
1,13:34,3,1,CAR 29,0,0,Cam Newton up the middle for 6 yards (tackle by Chris Prosinski),0.230,1.270
1,12:57,1,10,CAR 35,0,0,DeAngelo Williams right guard for 5 yards (tackle by Rashean Mathis),1.270,1.400
1,12:20,2,5,CAR 40,0,0,"Penalty on Jeremy Mincey: Neutral Zone Infraction, 4 yards (no play)",1.400,1.940
1,11:59,2,1,CAR 44,0,0,Jerome Felton up the middle for 3 yards (tackle by Jeremy Mincey),1.940,2.060
1,11:19,1,10,CAR 47,0,0,Cam Newton pass incomplete deep left intended for Steve Smith,2.060,1.520
1,11:13,2,10,CAR 47,0,0,Cam Newton right end for 6 yards (tackle by D'Anthony Smith),1.520,1.620
1,10:20,3,4,JAX 47,0,0,Cam Newton pass complete short right to Jeremy Shockey for 6 yards (tackle by Dawan Landry),1.620,2.850
1,9:39,1,10,JAX 41,0,0,Cam Newton pass incomplete short right intended for DeAngelo Williams (defended by D'Anthony Smith),2.850,2.310
1,9:32,2,10,JAX 41,0,0,Cam Newton pass incomplete deep middle intended for Legedu Naanee,2.310,1.620
1,9:27,3,10,JAX 41,0,0,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Drew Coleman),1.620,0.530
1,9:22,4,10,JAX 41,0,0,"Jason Baker punts 31 yards, fair catch by Cecil Shorts",0.530,0.380
1,9:15,1,10,JAX 10,0,0,Maurice Jones-Drew up the middle for 3 yards (tackle by Terrell McClain),-0.380,-0.560
1,8:39,2,7,JAX 13,0,0,"Blaine Gabbert pass complete deep left to Jason Hill for 17 yards (tackle by Captain Munnerlyn). Penalty on Eugene Monroe: Illegal Use of Hands, 6 yards (no play)",-0.560,-1.000
1,8:22,2,13,JAX 7,0,0,Maurice Jones-Drew left guard for no gain (tackle by Jason Williams),-1.000,-1.770
