Quarter,Time,Tm,Detail,JAX,CAR
1.0,7:33,Panthers,"Safety, Greg Hardy sacked Blaine Gabbert in end zone.",0,2
2.0,14:12,Panthers,Olindo Mare 35 yard field goal,0,5
,7:41,Jaguars,Josh Scobee 53 yard field goal,3,5
,0:00,Jaguars,Mike Thomas 36 yard pass from Blaine Gabbert (Josh Scobee kick),10,5
3.0,2:24,Panthers,Olindo Mare 32 yard field goal,10,8
4.0,4:20,Panthers,Greg Olsen 16 yard pass from Cam Newton (Greg Olsen pass from Cam Newton),10,16
