Unnamed: 0,ATL,CAR
First Downs,22,22
Rush-Yds-TDs,27-86-0,25-106-0
Cmp-Att-Yd-TD-INT,31-45-268-1-0,23-37-292-2-2
Sacked-Yards,2-8,2-7
Net Pass Yards,260,285
Total Yards,346,391
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,5-58,1-15
Third Down Conv.,5-15,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:58,28:02
