Quarter,Time,Tm,Detail,ATL,CAR
2.0,14:57,Panthers,Graham Gano 23 yard field goal,0,3
,9:26,Falcons,Matt Bryant 34 yard field goal,3,3
,0:02,Falcons,Matt Bryant 42 yard field goal,6,3
3.0,12:07,Falcons,Matt Bryant 26 yard field goal,9,3
,6:34,Falcons,Roddy White 2 yard pass from Matt Ryan (Matt Bryant kick),16,3
4.0,9:12,Panthers,Kelvin Benjamin 22 yard pass from Cam Newton (Graham Gano kick),16,10
,6:20,Panthers,Corey Brown 47 yard pass from Cam Newton (Graham Gano kick),16,17
,2:08,Falcons,Matt Bryant 44 yard field goal,19,17
