Quarter,Time,Tm,Detail,SEA,ATL
1.0,10:32,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),7,0
2.0,13:09,Seahawks,Josh Brown 54 yard field goal,10,0
,9:34,Falcons,Joe Horn 4 yard pass from Chris Redman (Morten Andersen kick),10,7
,5:10,Falcons,Warrick Dunn 5 yard rush (Morten Andersen kick),10,14
,1:10,Seahawks,Bobby Engram 30 yard pass from Matt Hasselbeck (Josh Brown kick),17,14
,0:00,Falcons,Morten Andersen 30 yard field goal,17,17
3.0,6:41,Seahawks,Josh Brown 51 yard field goal,20,17
,4:07,Falcons,Morten Andersen 37 yard field goal,20,20
,1:19,Seahawks,Maurice Morris 29 yard rush (Josh Brown kick),27,20
4.0,14:52,Falcons,Alge Crumpler 55 yard pass from Chris Redman (Morten Andersen kick),27,27
,13:30,Falcons,Alge Crumpler 7 yard pass from Chris Redman (Morten Andersen kick),27,34
,13:15,Falcons,Roddy White 10 yard pass from Chris Redman (Morten Andersen kick),27,41
,7:49,Seahawks,Nate Burleson 45 yard pass from Seneca Wallace (Josh Brown kick),34,41
,3:23,Falcons,Morten Andersen 32 yard field goal,34,44
,0:54,Seahawks,Nate Burleson 13 yard pass from Seneca Wallace (Josh Brown kick),41,44
