Unnamed: 0,SEA,ATL
First Downs,30,19
Rush-Yds-TDs,31-167-2,29-124-1
Cmp-Att-Yd-TD-INT,32-47-353-3-1,17-27-251-4-0
Sacked-Yards,4-19,2-11
Net Pass Yards,334,240
Total Yards,501,364
Fumbles-Lost,2-2,1-0
Turnovers,3,0
Penalties-Yards,9-85,5-41
Third Down Conv.,6-13,5-12
Fourth Down Conv.,2-2,0-1
Time of Possession,34:58,25:02
