Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Braden Mann kicks off 68 yards, returned by Byron Pringle for 23 yards (tackle by Braden Mann). Penalty on Byron Pringle: Face Mask (15 Yards), 10 yards",0.000,-0.380
1,14:52,1,10,KAN 10,0,0,Clyde Edwards-Helaire up the middle for 3 yards (tackle by Avery Williamson),-0.380,-0.560
1,14:16,2,7,KAN 13,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 13 yards (tackle by Neville Hewitt),-0.560,0.670
1,13:41,1,10,KAN 26,0,0,Patrick Mahomes pass complete short left to Mecole Hardman for 9 yards (tackle by Brian Poole and Neville Hewitt),0.670,1.350
1,13:02,2,1,KAN 35,0,0,Patrick Mahomes pass complete short left to Demarcus Robinson for 15 yards (tackle by Ashtyn Davis),1.350,2.260
1,12:27,1,10,KAN 50,0,0,Le'Veon Bell left end for 2 yards (tackle by Avery Williamson),2.260,1.980
1,11:52,2,8,NYJ 48,0,0,Patrick Mahomes pass complete short left to Le'Veon Bell for 18 yards (tackle by Tarell Basham),1.980,3.580
1,11:15,1,10,NYJ 30,0,6,"Patrick Mahomes pass complete short middle to Mecole Hardman for 30 yards, touchdown",3.580,7.000
1,11:08,,,NYJ 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,11:08,,,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,11:08,1,10,NYJ 25,0,7,Frank Gore left end for 7 yards (tackle by Damien Wilson),0.610,1.010
1,10:27,2,3,NYJ 32,0,7,Sam Darnold pass complete short left to Jeff Smith for 4 yards (tackle by Daniel Sorensen),1.010,1.330
