Quarter,Time,Tm,Detail,NYJ,KAN
1.0,11:08,Chiefs,Mecole Hardman 30 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
,4:39,Jets,Sergio Castillo 39 yard field goal,3,7
,1:17,Chiefs,Tyreek Hill 36 yard pass from Patrick Mahomes (Harrison Butker kick),3,14
2.0,13:02,Jets,Sergio Castillo 55 yard field goal,6,14
,2:55,Jets,Sergio Castillo 48 yard field goal,9,14
,0:58,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Harrison Butker kick),9,21
3.0,2:15,Chiefs,Demarcus Robinson 26 yard pass from Patrick Mahomes (Harrison Butker kick),9,28
4.0,10:58,Chiefs,Tyreek Hill 41 yard pass from Patrick Mahomes (Harrison Butker kick),9,35
