Quarter,Time,Tm,Detail,JAX,IND
1.0,11:26,Colts,Eric Ebron 53 yard pass from Andrew Luck (Adam Vinatieri kick),0,7
,2:58,Jaguars,Donte Moncrief 80 yard pass from Blake Bortles (Josh Lambo kick),7,7
,0:00,Colts,Eric Ebron 2 yard rush (Adam Vinatieri kick),7,14
2.0,9:19,Colts,Eric Ebron 12 yard pass from Andrew Luck (Adam Vinatieri kick),7,21
,5:53,Jaguars,Leonard Fournette 1 yard rush (Josh Lambo kick failed),13,21
,1:46,Colts,Mo Alie-Cox 1 yard pass from Andrew Luck (Marlon Mack run),13,29
,0:05,Jaguars,Josh Lambo 28 yard field goal,16,29
3.0,6:25,Jaguars,Leonard Fournette 1 yard pass from Blake Bortles (Josh Lambo kick),23,29
4.0,4:03,Jaguars,Josh Lambo 55 yard field goal,26,29
