Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton,0.610,0.060
1,14:57,2,10,IND 25,0,0,Andrew Luck pass complete short left to Nyheim Hines for 4 yards (tackle by Barry Church),0.060,-0.100
1,14:15,3,6,IND 29,0,0,Andrew Luck pass complete short right to T.Y. Hilton for 7 yards (tackle by Telvin Smith),-0.100,1.330
1,13:35,1,10,IND 36,0,0,Andrew Luck pass complete short right to Dontrelle Inman for 6 yards (tackle by Tyler Patmon),1.330,1.600
1,12:58,2,4,IND 42,0,0,Marlon Mack right end for 7 yards (tackle by Telvin Smith),1.600,2.190
1,12:13,1,10,IND 49,0,0,Marlon Mack up the middle for -2 yards (tackle by Abry Jones),2.190,1.380
1,11:36,2,12,IND 47,0,6,"Andrew Luck pass complete deep right to Eric Ebron for 53 yards, touchdown",1.380,7.000
1,11:26,,,JAX 15,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,11:26,,,IND 35,0,7,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,11:26,1,10,JAX 25,0,7,Leonard Fournette up the middle for 4 yards (tackle by Darius Leonard),0.610,0.600
1,10:48,2,6,JAX 29,0,7,"Blake Bortles pass complete short right to Donte Moncrief for 2 yards (tackle by Darius Leonard). Penalty on Denico Autry: Defensive Holding, 5 yards (no play)",0.600,1.200
1,10:31,1,10,JAX 34,0,7,Leonard Fournette right guard for 2 yards (tackle by Darius Leonard and Clayton Geathers),1.200,0.930
1,9:55,2,8,JAX 36,0,7,Leonard Fournette up the middle for -1 yards (tackle by Anthony Walker and Darius Leonard),0.930,0.100
1,9:07,3,9,JAX 35,0,7,T.J. Yeldon left end for no gain (tackle by Kenny Moore),0.100,-1.040
1,8:36,4,9,JAX 35,0,7,"Logan Cooke punts 45 yards, fair catch by Chester Rogers at IND-20",-1.040,-0.280
1,8:27,1,10,IND 20,0,7,Andrew Luck pass complete short left to Jack Doyle for 20 yards (tackle by Telvin Smith),0.280,1.600
1,7:48,1,10,IND 40,0,7,Marlon Mack up the middle for 2 yards (tackle by Malik Jackson and Yannick Ngakoue),1.600,1.320
1,7:14,2,8,IND 42,0,7,Marlon Mack right guard for no gain (tackle by Abry Jones and Barry Church),1.320,0.630
1,6:32,3,8,IND 42,0,7,Andrew Luck pass complete short left to Eric Ebron for 4 yards (tackle by Jalen Ramsey),0.630,-0.320
1,5:53,4,4,IND 46,0,7,"Rigoberto Sanchez punts 52 yards, returned by Dede Westbrook for 1 yard (tackle by Najee Goode and Clayton Geathers)",-0.320,0.380
1,5:40,1,10,JAX 3,0,7,Leonard Fournette up the middle for 5 yards (tackle by Carroll Phillips),-0.380,-0.420
1,5:05,2,5,JAX 8,0,7,Blake Bortles pass complete short right to Dede Westbrook for 5 yards (tackle by Malik Hooker),-0.420,-0.320
1,4:26,1,10,JAX 13,0,7,Leonard Fournette right end for 3 yards (tackle by Darius Leonard and Grover Stewart),-0.320,-0.440
1,3:50,2,7,JAX 16,0,7,Leonard Fournette left guard for 4 yards (tackle by Grover Stewart),-0.440,-0.590
1,3:10,3,3,JAX 20,6,7,"Blake Bortles pass complete deep right to Donte Moncrief for 80 yards, touchdown",-0.590,7.000
1,2:58,,,IND 15,6,7,"Penalty on Carroll Phillips: Neutral Zone Infraction, 5 yards",0.000,0.000
1,2:58,,,IND 15,7,7,Josh Lambo kicks extra point good,0.000,0.000
1,2:58,,,JAX 40,7,7,"Josh Lambo kicks off 60 yards, touchback.. Penalty on Ronnie Harrison: Illegal Motion, 5 yards",0.000,0.940
1,2:58,1,10,IND 30,7,7,Andrew Luck pass complete deep left to T.Y. Hilton for 35 yards (tackle by Jalen Ramsey),0.940,3.250
1,2:27,1,10,JAX 35,7,7,Marlon Mack right end for no gain (tackle by Telvin Smith),3.250,2.700
1,1:51,2,10,JAX 35,7,7,Andrew Luck pass complete deep middle to Mo Alie-Cox for 27 yards (tackle by Jalen Ramsey),2.700,5.370
1,1:07,1,8,JAX 8,7,7,Nyheim Hines up the middle for -1 yards (tackle by Calais Campbell),5.370,4.380
1,0:31,2,9,JAX 9,7,7,Andrew Luck pass complete short right to Marlon Mack for 7 yards (tackle by Myles Jack),4.380,4.950
1,0:02,3,2,JAX 2,7,13,"Eric Ebron left end for 2 yards, touchdown",4.950,7.000
1,0:00,,,JAX 15,7,14,Adam Vinatieri kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,IND 35,7,14,"Rigoberto Sanchez kicks off 65 yards, returned by DJ Chark for no gain (tackle by Matthew Adams)",0.000,0.480
2,14:55,1,10,JAX 23,7,14,Leonard Fournette up the middle for 4 yards (tackle by Matthew Adams and Clayton Geathers),0.480,0.470
2,14:18,2,6,JAX 27,7,14,Leonard Fournette left end for 8 yards (tackle by Clayton Geathers),0.470,1.270
2,13:43,1,10,JAX 35,7,14,Leonard Fournette right tackle for -1 yards (tackle by Kenny Moore),1.270,0.590
2,13:05,2,11,JAX 34,7,14,Blake Bortles pass complete short left to Dede Westbrook for 7 yards (tackle by Tyquan Lewis),0.590,0.830
2,12:27,3,4,JAX 41,7,14,Blake Bortles pass incomplete short middle intended for DJ Chark,0.830,-0.650
2,12:22,4,4,JAX 41,7,14,"Logan Cooke punts 51 yards, returned by Chester Rogers for 6 yards (tackle by DJ Chark)",-0.650,0.280
2,12:11,1,10,IND 14,7,14,Marlon Mack up the middle for 7 yards (tackle by Tashaun Gipson),-0.280,0.280
2,11:40,2,3,IND 21,7,14,Marlon Mack up the middle for 2 yards (tackle by Barry Church),0.280,-0.320
2,10:57,3,1,IND 23,7,14,Jordan Wilkins right end for 53 yards (tackle by Telvin Smith),-0.320,3.970
2,10:16,1,10,JAX 24,7,14,Andrew Luck pass complete short right to Jack Doyle for 12 yards,3.970,4.780
2,9:32,1,10,JAX 12,7,14,Andrew Luck pass incomplete short middle intended for T.Y. Hilton,4.780,4.100
2,9:28,2,10,JAX 12,7,14,Andrew Luck pass incomplete short left intended for Chester Rogers,4.100,3.120
2,9:24,3,10,JAX 12,7,20,"Andrew Luck pass complete short right to Eric Ebron for 12 yards, touchdown",3.120,7.000
2,9:19,,,JAX 15,7,21,Adam Vinatieri kicks extra point good,0.000,0.000
2,9:19,,,IND 35,7,21,"Rigoberto Sanchez kicks off 66 yards, returned by DJ Chark for no gain (tackle by Rigoberto Sanchez)",0.000,1.990
2,9:12,1,10,JAX 46,7,21,Leonard Fournette left end for 6 yards (tackle by Malik Hooker),1.990,2.260
2,8:36,2,4,IND 48,7,21,Dede Westbrook left end for 13 yards (tackle by Clayton Geathers),2.260,3.250
2,8:05,1,10,IND 35,7,21,Blake Bortles pass complete short right to Leonard Fournette for 31 yards (tackle by Malik Hooker),3.250,6.280
2,7:19,1,4,IND 4,7,21,Leonard Fournette left guard for 2 yards (tackle by Pierre Desir),6.280,5.720
2,6:36,2,2,IND 2,7,21,Leonard Fournette up the middle for 1 yard (tackle by George Odum),5.720,5.170
2,5:57,3,1,IND 1,13,21,"Leonard Fournette right tackle for 1 yard, touchdown",5.170,7.000
2,5:53,,,IND 15,13,21,Josh Lambo kicks extra point blocked by Denico Autry. Penalty on Corey Moore: Low Block,0.000,-1.000
2,5:53,,,JAX 35,13,21,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
2,5:53,1,10,IND 25,13,21,Marlon Mack up the middle for 7 yards (tackle by Malik Jackson),0.610,1.010
2,5:20,2,3,IND 32,13,21,Andrew Luck pass incomplete short right intended for T.Y. Hilton,1.010,0.300
