Unnamed: 0,JAX,IND
First Downs,24,17
Rush-Yds-TDs,34-91-1,23-81-1
Cmp-Att-Yd-TD-INT,27-39-324-2-0,21-29-285-3-1
Sacked-Yards,0-0,0-0
Net Pass Yards,324,285
Total Yards,415,366
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,8-61,7-45
Third Down Conv.,9-17,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,35:10,24:50
