Quarter,Time,Tm,Detail,DEN,KAN
1.0,7:31,Broncos,Tim Tebow 7 yard rush (Matt Prater kick),7,0
2.0,7:46,Broncos,Matt Prater 38 yard field goal,10,0
3.0,8:10,Chiefs,Le'Ron McClain 1 yard pass from Matt Cassel (Ryan Succop kick),10,7
4.0,6:44,Broncos,Eric Decker 56 yard pass from Tim Tebow (Matt Prater kick),17,7
,0:07,Chiefs,Ryan Succop 32 yard field goal,17,10
